16 1 0 453 429 145 -1 -1 -1 -1 label : spot-0.60
17 1 0 454 421 139 -1 -1 -1 -1 label : spot-0.60
18 1 6 458 383 140 -1 -1 -1 -1 label : spot-0.56
19 1 2 460 383 140 -1 -1 -1 -1 label : spot-0.56
20 1 0 464 400 144 -1 -1 -1 -1 label : spot-0.51
21 1 0 465 404 145 -1 -1 -1 -1 label : spot-0.51
138 3 908 433 116 36 -1 -1 -1 -1 label : spot-1 0.57
139 3 907 432 119 38 -1 -1 -1 -1 label : spot-1 0.57
140 3 908 433 124 36 -1 -1 -1 -1 label : spot-1 0.52
141 3 910 433 121 36 -1 -1 -1 -1 label : spot-1 0.52
142 3 917 434 119 35 -1 -1 -1 -1 label : spot-1 0.52
143 3 920 435 117 35 -1 -1 -1 -1 label : spot-1 0.52
158 3 926 433 145 39 -1 -1 -1 -1 label : spot-1 0.53
159 3 930 432 150 40 -1 -1 -1 -1 label : spot-1 0.52
160 3 933 432 154 43 -1 -1 -1 -1 label : spot-1 0.62
161 3 932 432 158 43 -1 -1 -1 -1 label : spot-1 0.61
162 3 935 434 158 43 -1 -1 -1 -1 label : spot-1 0.61
163 3 936 434 158 44 -1 -1 -1 -1 label : spot-1 0.60
164 3 937 433 160 45 -1 -1 -1 -1 label : spot-1 0.51
165 3 937 433 161 46 -1 -1 -1 -1 label : spot-1 0.52
212 4 1012 470 267 77 -1 -1 -1 -1 label : spot-2 0.52
213 4 1010 471 269 75 -1 -1 -1 -1 label : spot-2 0.53
260 5 954 439 65 35 -1 -1 -1 -1 label : spot-1 0.53
261 5 955 438 65 37 -1 -1 -1 -1 label : spot-1 0.52
262 5 961 439 68 38 -1 -1 -1 -1 label : spot-1 0.54
263 5 963 439 70 39 -1 -1 -1 -1 label : spot-1 0.54
268 5 969 442 79 39 -1 -1 -1 -1 label : spot-1 0.55
269 5 973 443 78 39 -1 -1 -1 -1 label : spot-1 0.56
270 5 978 448 80 37 -1 -1 -1 -1 label : spot-1 0.51
271 5 980 449 80 38 -1 -1 -1 -1 label : spot-1 0.51
272 5 981 451 85 37 -1 -1 -1 -1 label : spot-1 0.56
273 5 983 451 84 37 -1 -1 -1 -1 label : spot-1 0.57
274 5 980 453 98 35 -1 -1 -1 -1 label : spot-1 0.58
275 5 984 453 94 35 -1 -1 -1 -1 label : spot-1 0.58
276 5 983 454 100 35 -1 -1 -1 -1 label : spot-1 0.54
277 5 984 455 100 35 -1 -1 -1 -1 label : spot-1 0.54
278 5 997 454 91 37 -1 -1 -1 -1 label : spot-1 0.54
279 5 999 454 93 38 -1 -1 -1 -1 label : spot-1 0.53
280 5 1001 456 99 37 -1 -1 -1 -1 label : spot-1 0.58
281 5 1002 457 99 37 -1 -1 -1 -1 label : spot-1 0.58
282 5 1005 456 103 38 -1 -1 -1 -1 label : spot-1 0.63
283 5 1007 456 103 38 -1 -1 -1 -1 label : spot-1 0.63
284 5 1009 457 110 38 -1 -1 -1 -1 label : spot-1 0.62
285 5 1011 457 110 39 -1 -1 -1 -1 label : spot-1 0.63
286 5 1014 455 111 40 -1 -1 -1 -1 label : spot-1 0.55
287 5 1015 454 112 41 -1 -1 -1 -1 label : spot-1 0.55
288 5 1018 454 115 42 -1 -1 -1 -1 label : spot-1 0.61
289 5 1019 454 116 43 -1 -1 -1 -1 label : spot-1 0.60
290 5 1018 455 126 42 -1 -1 -1 -1 label : spot-1 0.60
291 5 1019 455 126 43 -1 -1 -1 -1 label : spot-1 0.60
292 5 1024 455 126 43 -1 -1 -1 -1 label : spot-1 0.58
293 5 1025 455 127 44 -1 -1 -1 -1 label : spot-1 0.58
294 5 1022 457 136 42 -1 -1 -1 -1 label : spot-1 0.51
295 5 1024 458 134 42 -1 -1 -1 -1 label : spot-1 0.51
494 11 5 473 495 134 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.56
495 11 0 474 501 135 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.56
496 11 1 475 480 137 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.55
497 11 0 476 477 137 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.54
498 11 8 472 413 141 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
499 11 0 471 415 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
500 11 0 474 422 134 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.60
501 11 0 475 418 132 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.60
501 13 289 364 21 46 -1 -1 -1 -1 label : fireHydrant 0.54
502 11 0 472 414 133 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.59
503 11 0 470 414 135 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.59
504 11 0 470 410 135 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.60
505 13 280 361 21 47 -1 -1 -1 -1 label : fireHydrant 0.61
510 11 1 474 342 130 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
511 11 0 474 339 130 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
