111 1 1036 455 119 85 -1 -1 -1 -1 label : spot-0.42
112 1 1044 455 129 93 -1 -1 -1 -1 label : spot-0.40
113 1 1047 459 142 91 -1 -1 -1 -1 label : spot-0.42
114 1 1064 461 135 94 -1 -1 -1 -1 label : spot-0.47
115 1 1070 459 144 99 -1 -1 -1 -1 label : spot-0.41
116 1 1070 461 161 98 -1 -1 -1 -1 label : spot-0.42
117 1 1052 465 202 96 -1 -1 -1 -1 label : spot-0.47
118 1 1080 469 179 95 -1 -1 -1 -1 label : spot-0.42
120 1 1104 475 170 95 -1 -1 -1 -1 label : spot-0.31
121 1 1119 477 160 96 -1 -1 -1 -1 label : spot-0.35
124 1 1145 479 134 93 -1 -1 -1 -1 label : spot-0.41
125 1 1157 478 122 94 -1 -1 -1 -1 label : spot-0.31
176 5 933 444 113 54 -1 -1 -1 -1 label : spot-1 0.36
177 5 935 444 115 53 -1 -1 -1 -1 label : spot-1 0.45
178 5 927 446 132 51 -1 -1 -1 -1 label : spot-1 0.51
179 5 921 449 144 50 -1 -1 -1 -1 label : spot-1 0.48
180 5 924 450 144 53 -1 -1 -1 -1 label : spot-1 0.50
181 5 914 453 164 51 -1 -1 -1 -1 label : spot-1 0.47
182 5 925 453 155 50 -1 -1 -1 -1 label : spot-1 0.49
183 5 924 454 165 50 -1 -1 -1 -1 label : spot-1 0.44
184 5 929 456 163 52 -1 -1 -1 -1 label : spot-1 0.52
185 5 920 457 183 55 -1 -1 -1 -1 label : spot-1 0.50
186 5 913 459 200 56 -1 -1 -1 -1 label : spot-1 0.53
187 5 911 460 209 57 -1 -1 -1 -1 label : spot-1 0.51
188 5 910 463 220 56 -1 -1 -1 -1 label : spot-1 0.52
189 5 920 464 215 57 -1 -1 -1 -1 label : spot-1 0.51
190 5 915 466 232 57 -1 -1 -1 -1 label : spot-1 0.51
191 5 913 467 243 58 -1 -1 -1 -1 label : spot-1 0.49
192 5 911 468 255 59 -1 -1 -1 -1 label : spot-1 0.49
193 5 917 469 259 60 -1 -1 -1 -1 label : spot-1 0.37
194 5 927 470 259 61 -1 -1 -1 -1 label : spot-1 0.41
195 5 930 471 269 61 -1 -1 -1 -1 label : spot-1 0.44
196 5 927 473 286 61 -1 -1 -1 -1 label : spot-1 0.50
202 5 924 479 339 66 -1 -1 -1 -1 label : spot-1 0.33
204 5 927 483 350 68 -1 -1 -1 -1 label : spot-1 0.33
205 5 963 485 310 71 -1 -1 -1 -1 label : spot-1 0.32
207 5 1004 488 268 73 -1 -1 -1 -1 label : spot-1 0.40
208 5 1010 490 269 76 -1 -1 -1 -1 label : spot-1 0.36
209 5 1004 493 275 76 -1 -1 -1 -1 label : spot-1 0.44
210 5 1011 496 268 72 -1 -1 -1 -1 label : spot-1 0.50
211 5 1048 496 227 73 -1 -1 -1 -1 label : spot-1 0.42
212 5 1066 496 211 78 -1 -1 -1 -1 label : spot-1 0.42
213 5 1073 498 206 77 -1 -1 -1 -1 label : spot-1 0.41
214 5 1080 498 199 78 -1 -1 -1 -1 label : spot-1 0.43
215 5 1091 500 188 81 -1 -1 -1 -1 label : spot-1 0.43
216 5 1102 500 177 82 -1 -1 -1 -1 label : spot-1 0.44
217 5 1114 501 164 86 -1 -1 -1 -1 label : spot-1 0.38
218 5 1127 499 150 90 -1 -1 -1 -1 label : spot-1 0.40
219 5 1138 496 141 90 -1 -1 -1 -1 label : spot-1 0.34
314 7 1007 484 264 75 -1 -1 -1 -1 label : spot-1 0.31
317 7 1073 489 203 89 -1 -1 -1 -1 label : spot-1 0.44
318 7 1094 491 185 92 -1 -1 -1 -1 label : spot-1 0.43
319 7 1084 495 195 95 -1 -1 -1 -1 label : spot-1 0.34
320 7 1100 496 179 97 -1 -1 -1 -1 label : spot-1 0.33
358 10 182 424 121 34 -1 -1 -1 -1 label : spot-1 0.32
359 10 185 425 117 34 -1 -1 -1 -1 label : spot-1 0.37
361 11 161 420 11 31 -1 -1 -1 -1 label : fireHydrant 0.46
362 11 156 421 12 32 -1 -1 -1 -1 label : fireHydrant 0.55
363 11 151 422 13 32 -1 -1 -1 -1 label : fireHydrant 0.57
364 11 147 424 12 32 -1 -1 -1 -1 label : fireHydrant 0.44
365 11 142 424 13 34 -1 -1 -1 -1 label : fireHydrant 0.48
367 11 135 425 12 34 -1 -1 -1 -1 label : fireHydrant 0.51
368 11 129 425 14 36 -1 -1 -1 -1 label : fireHydrant 0.61
