28 1 2 424 213 111 -1 -1 -1 -1 label : spot-0.40
29 1 0 428 239 112 -1 -1 -1 -1 label : spot-0.32
30 1 3 433 248 126 -1 -1 -1 -1 label : spot-0.31
31 1 0 436 276 119 -1 -1 -1 -1 label : spot-0.39
32 1 0 439 279 114 -1 -1 -1 -1 label : spot-0.42
33 1 0 439 288 114 -1 -1 -1 -1 label : spot-0.39
34 1 0 439 304 113 -1 -1 -1 -1 label : spot-0.45
35 1 0 440 310 106 -1 -1 -1 -1 label : spot-0.45
36 1 3 439 308 111 -1 -1 -1 -1 label : spot-0.40
37 1 0 439 324 109 -1 -1 -1 -1 label : spot-0.46
38 1 5 437 322 117 -1 -1 -1 -1 label : spot-0.50
39 1 0 434 339 119 -1 -1 -1 -1 label : spot-0.55
40 1 5 435 336 126 -1 -1 -1 -1 label : spot-0.52
41 1 0 435 355 124 -1 -1 -1 -1 label : spot-0.53
42 1 3 437 349 128 -1 -1 -1 -1 label : spot-0.52
43 1 2 439 348 128 -1 -1 -1 -1 label : spot-0.47
44 1 4 440 343 134 -1 -1 -1 -1 label : spot-0.44
45 1 1 440 351 136 -1 -1 -1 -1 label : spot-0.46
46 1 0 441 357 138 -1 -1 -1 -1 label : spot-0.41
47 1 0 444 360 140 -1 -1 -1 -1 label : spot-0.51
48 1 0 446 364 142 -1 -1 -1 -1 label : spot-0.46
49 1 2 448 359 145 -1 -1 -1 -1 label : spot-0.51
50 1 3 451 356 151 -1 -1 -1 -1 label : spot-0.48
51 1 1 452 358 154 -1 -1 -1 -1 label : spot-0.44
53 1 0 459 362 145 -1 -1 -1 -1 label : spot-0.33
110 4 980 329 9 30 -1 -1 -1 -1 label : fireHydrant 0.40
111 4 981 329 9 31 -1 -1 -1 -1 label : fireHydrant 0.34
112 4 981 330 9 30 -1 -1 -1 -1 label : fireHydrant 0.37
113 4 980 330 10 30 -1 -1 -1 -1 label : fireHydrant 0.32
120 4 981 330 9 31 -1 -1 -1 -1 label : fireHydrant 0.33
121 4 982 331 9 30 -1 -1 -1 -1 label : fireHydrant 0.32
122 4 982 330 9 31 -1 -1 -1 -1 label : fireHydrant 0.32
527 6 830 345 9 24 -1 -1 -1 -1 label : fireHydrant 0.42
528 6 829 344 10 26 -1 -1 -1 -1 label : fireHydrant 0.36
529 6 829 344 11 25 -1 -1 -1 -1 label : fireHydrant 0.41
530 6 829 344 10 25 -1 -1 -1 -1 label : fireHydrant 0.45
531 6 828 344 10 24 -1 -1 -1 -1 label : fireHydrant 0.40
532 6 828 343 10 24 -1 -1 -1 -1 label : fireHydrant 0.40
533 6 829 343 9 23 -1 -1 -1 -1 label : fireHydrant 0.35
534 6 828 343 9 23 -1 -1 -1 -1 label : fireHydrant 0.35
535 6 829 342 8 23 -1 -1 -1 -1 label : fireHydrant 0.30
536 6 828 342 9 23 -1 -1 -1 -1 label : fireHydrant 0.36
537 6 827 341 9 23 -1 -1 -1 -1 label : fireHydrant 0.33
538 6 827 341 9 23 -1 -1 -1 -1 label : fireHydrant 0.30
539 6 827 341 9 23 -1 -1 -1 -1 label : fireHydrant 0.36
540 6 827 342 10 22 -1 -1 -1 -1 label : fireHydrant 0.35
541 6 827 342 9 23 -1 -1 -1 -1 label : fireHydrant 0.45
542 6 826 342 9 23 -1 -1 -1 -1 label : fireHydrant 0.42
543 6 826 342 9 24 -1 -1 -1 -1 label : fireHydrant 0.41
544 6 826 342 10 24 -1 -1 -1 -1 label : fireHydrant 0.36
545 6 826 342 9 24 -1 -1 -1 -1 label : fireHydrant 0.44
546 6 825 342 10 24 -1 -1 -1 -1 label : fireHydrant 0.47
547 6 825 342 9 23 -1 -1 -1 -1 label : fireHydrant 0.40
548 6 824 342 9 23 -1 -1 -1 -1 label : fireHydrant 0.42
549 6 824 342 9 24 -1 -1 -1 -1 label : fireHydrant 0.39
550 6 824 343 9 23 -1 -1 -1 -1 label : fireHydrant 0.38
551 6 824 343 10 23 -1 -1 -1 -1 label : fireHydrant 0.32
552 6 823 344 10 23 -1 -1 -1 -1 label : fireHydrant 0.41
553 6 823 344 9 23 -1 -1 -1 -1 label : fireHydrant 0.45
554 6 823 345 9 22 -1 -1 -1 -1 label : fireHydrant 0.44
555 6 822 345 10 23 -1 -1 -1 -1 label : fireHydrant 0.46
556 6 821 345 10 23 -1 -1 -1 -1 label : fireHydrant 0.42
557 6 821 345 10 24 -1 -1 -1 -1 label : fireHydrant 0.39
558 6 821 345 10 24 -1 -1 -1 -1 label : fireHydrant 0.38
559 6 821 346 10 23 -1 -1 -1 -1 label : fireHydrant 0.36
560 6 820 346 10 23 -1 -1 -1 -1 label : fireHydrant 0.45
561 6 820 346 10 24 -1 -1 -1 -1 label : fireHydrant 0.37
562 6 821 345 9 24 -1 -1 -1 -1 label : fireHydrant 0.32
563 6 820 345 9 23 -1 -1 -1 -1 label : fireHydrant 0.36
