14 1 704 508 306 66 -1 -1 -1 -1 label : spot-0.50
26 2 762 527 513 138 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
27 2 760 526 518 139 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
28 2 771 525 507 140 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.60
29 2 777 527 502 137 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.61
30 2 778 525 501 139 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.63
31 2 790 525 488 138 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.63
32 2 783 525 485 120 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.54
33 2 785 526 490 118 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.64
34 2 816 528 454 121 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.65
35 2 824 530 453 119 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.62
36 2 837 533 440 119 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.62
37 2 932 532 323 130 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.58
38 2 929 535 349 128 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.55
39 2 947 536 332 121 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.59
40 2 926 538 353 115 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.57
41 2 947 542 332 107 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
212 10 754 429 55 43 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
213 10 756 432 65 42 -1 -1 -1 -1 label : invalidSpot-entrance 0.56
214 10 757 435 75 42 -1 -1 -1 -1 label : invalidSpot-entrance 0.58
215 10 756 438 89 42 -1 -1 -1 -1 label : invalidSpot-entrance 0.56
216 10 768 438 86 51 -1 -1 -1 -1 label : invalidSpot-entrance 0.58
217 10 775 439 95 61 -1 -1 -1 -1 label : invalidSpot-entrance 0.60
218 10 766 441 124 69 -1 -1 -1 -1 label : invalidSpot-entrance 0.57
219 10 757 441 156 71 -1 -1 -1 -1 label : invalidSpot-entrance 0.52
220 10 772 439 160 73 -1 -1 -1 -1 label : invalidSpot-entrance 0.54
221 10 778 438 178 81 -1 -1 -1 -1 label : invalidSpot-entrance 0.64
222 10 772 439 217 84 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
223 10 803 437 209 90 -1 -1 -1 -1 label : invalidSpot-entrance 0.57
224 10 816 435 235 99 -1 -1 -1 -1 label : invalidSpot-entrance 0.61
225 10 838 435 249 112 -1 -1 -1 -1 label : invalidSpot-entrance 0.53
226 10 842 434 302 114 -1 -1 -1 -1 label : invalidSpot-entrance 0.57
227 10 857 436 337 123 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
313 16 119 352 23 44 -1 -1 -1 -1 label : fireHydrant 0.49
315 16 108 353 23 43 -1 -1 -1 -1 label : fireHydrant 0.46
