7 1 301 450 148 67 -1 -1 -1 -1 label : spot-0.38
8 1 289 454 160 69 -1 -1 -1 -1 label : spot-0.54
9 1 278 457 173 68 -1 -1 -1 -1 label : spot-0.43
22 3 6 501 148 86 -1 -1 -1 -1 label : invalidSpot-entrance 0.54
23 3 0 502 142 92 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
24 3 0 500 121 98 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
25 1 101 470 286 65 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
25 3 0 503 102 98 -1 -1 -1 -1 label : invalidSpot-entrance 0.31
55 6 173 462 227 37 -1 -1 -1 -1 label : invalidSpot-entrance 0.39
56 6 151 466 230 43 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
57 6 122 470 256 48 -1 -1 -1 -1 label : invalidSpot-entrance 0.53
58 6 89 473 271 55 -1 -1 -1 -1 label : invalidSpot-entrance 0.57
59 6 52 477 320 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.62
60 6 22 481 321 67 -1 -1 -1 -1 label : invalidSpot-entrance 0.54
61 6 18 488 258 86 -1 -1 -1 -1 label : invalidSpot-entrance 0.56
62 6 0 492 313 88 -1 -1 -1 -1 label : invalidSpot-entrance 0.54
63 6 0 496 327 84 -1 -1 -1 -1 label : invalidSpot-entrance 0.52
64 6 0 498 331 80 -1 -1 -1 -1 label : invalidSpot-entrance 0.54
65 6 0 501 327 75 -1 -1 -1 -1 label : invalidSpot-entrance 0.53
66 6 0 504 307 70 -1 -1 -1 -1 label : invalidSpot-entrance 0.46
67 6 18 503 175 80 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
68 6 0 509 246 73 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
69 6 0 512 252 75 -1 -1 -1 -1 label : invalidSpot-entrance 0.34
70 7 417 394 13 34 -1 -1 -1 -1 label : fireHydrant 0.30
71 7 415 394 11 34 -1 -1 -1 -1 label : fireHydrant 0.49
72 6 0 527 220 65 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
72 7 412 393 12 34 -1 -1 -1 -1 label : fireHydrant 0.34
73 6 0 530 223 66 -1 -1 -1 -1 label : invalidSpot-entrance 0.37
74 7 401 394 13 35 -1 -1 -1 -1 label : fireHydrant 0.31
75 7 402 394 14 36 -1 -1 -1 -1 label : fireHydrant 0.60
76 7 403 394 12 36 -1 -1 -1 -1 label : fireHydrant 0.47
77 7 382 393 14 40 -1 -1 -1 -1 label : fireHydrant 0.33
78 7 373 393 14 43 -1 -1 -1 -1 label : fireHydrant 0.46
79 7 386 395 14 39 -1 -1 -1 -1 label : fireHydrant 0.51
80 7 371 396 13 42 -1 -1 -1 -1 label : fireHydrant 0.58
81 7 362 397 15 43 -1 -1 -1 -1 label : fireHydrant 0.61
82 7 357 397 16 44 -1 -1 -1 -1 label : fireHydrant 0.37
83 7 353 398 17 44 -1 -1 -1 -1 label : fireHydrant 0.38
84 7 350 398 16 45 -1 -1 -1 -1 label : fireHydrant 0.56
85 7 347 398 16 47 -1 -1 -1 -1 label : fireHydrant 0.33
86 7 368 400 14 41 -1 -1 -1 -1 label : fireHydrant 0.45
87 7 374 402 14 39 -1 -1 -1 -1 label : fireHydrant 0.43
88 7 350 402 15 43 -1 -1 -1 -1 label : fireHydrant 0.33
89 7 339 402 15 46 -1 -1 -1 -1 label : fireHydrant 0.55
90 7 359 402 16 43 -1 -1 -1 -1 label : fireHydrant 0.66
91 7 367 402 15 41 -1 -1 -1 -1 label : fireHydrant 0.65
92 7 370 402 15 41 -1 -1 -1 -1 label : fireHydrant 0.66
92 13 331 402 17 47 -1 -1 -1 -1 label : fireHydrant 0.57
93 7 371 402 15 41 -1 -1 -1 -1 label : fireHydrant 0.65
93 13 331 402 17 47 -1 -1 -1 -1 label : fireHydrant 0.58
93 14 336 437 111 29 -1 -1 -1 -1 label : invalidSpot-fireHydrant 0.31
94 7 372 402 15 41 -1 -1 -1 -1 label : fireHydrant 0.65
94 13 331 402 17 47 -1 -1 -1 -1 label : fireHydrant 0.57
94 14 336 437 111 29 -1 -1 -1 -1 label : invalidSpot-fireHydrant 0.31
95 7 372 402 15 41 -1 -1 -1 -1 label : fireHydrant 0.65
95 13 331 402 17 47 -1 -1 -1 -1 label : fireHydrant 0.57
95 14 336 437 110 29 -1 -1 -1 -1 label : invalidSpot-fireHydrant 0.31
