26 1 1 498 306 79 -1 -1 -1 -1 label : spot-0.43
27 1 0 498 306 76 -1 -1 -1 -1 label : spot-0.48
28 1 0 500 303 75 -1 -1 -1 -1 label : spot-0.52
29 1 4 501 277 78 -1 -1 -1 -1 label : spot-0.55
30 1 2 503 275 82 -1 -1 -1 -1 label : spot-0.50
31 1 0 504 274 81 -1 -1 -1 -1 label : spot-0.49
32 1 0 506 267 80 -1 -1 -1 -1 label : spot-0.40
33 1 10 508 226 94 -1 -1 -1 -1 label : spot-0.34
35 1 7 509 227 108 -1 -1 -1 -1 label : spot-0.31
60 1 0 500 294 103 -1 -1 -1 -1 label : spot-0.32
139 4 977 451 78 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.31
270 6 269 446 117 53 -1 -1 -1 -1 label : spot-1 0.32
271 6 261 443 118 59 -1 -1 -1 -1 label : spot-1 0.33
272 6 252 446 125 60 -1 -1 -1 -1 label : spot-1 0.42
273 6 244 444 129 62 -1 -1 -1 -1 label : spot-1 0.38
274 6 233 444 141 62 -1 -1 -1 -1 label : spot-1 0.47
275 6 227 445 141 64 -1 -1 -1 -1 label : spot-1 0.41
276 6 217 447 152 68 -1 -1 -1 -1 label : spot-1 0.33
277 6 210 449 133 69 -1 -1 -1 -1 label : spot-1 0.44
278 6 192 452 163 72 -1 -1 -1 -1 label : spot-1 0.49
279 6 180 456 182 75 -1 -1 -1 -1 label : spot-1 0.46
280 6 169 457 177 74 -1 -1 -1 -1 label : spot-1 0.49
281 6 156 459 187 75 -1 -1 -1 -1 label : spot-1 0.52
282 6 144 459 198 84 -1 -1 -1 -1 label : spot-1 0.59
283 6 127 461 218 91 -1 -1 -1 -1 label : spot-1 0.56
284 6 108 462 238 92 -1 -1 -1 -1 label : spot-1 0.58
285 6 90 463 255 95 -1 -1 -1 -1 label : spot-1 0.62
286 6 67 464 272 90 -1 -1 -1 -1 label : spot-1 0.63
287 6 41 468 296 81 -1 -1 -1 -1 label : spot-1 0.61
288 6 28 472 290 78 -1 -1 -1 -1 label : spot-1 0.51
292 6 11 481 274 85 -1 -1 -1 -1 label : spot-1 0.35
294 6 7 484 228 91 -1 -1 -1 -1 label : spot-1 0.31
295 6 4 484 177 93 -1 -1 -1 -1 label : spot-1 0.31
296 6 0 486 168 93 -1 -1 -1 -1 label : spot-1 0.31
297 6 0 486 152 97 -1 -1 -1 -1 label : spot-1 0.30
351 7 980 420 19 37 -1 -1 -1 -1 label : fireHydrant 0.68
352 7 981 421 19 37 -1 -1 -1 -1 label : fireHydrant 0.67
353 7 980 422 21 38 -1 -1 -1 -1 label : fireHydrant 0.53
354 7 981 423 21 38 -1 -1 -1 -1 label : fireHydrant 0.48
355 7 984 424 20 38 -1 -1 -1 -1 label : fireHydrant 0.55
356 7 985 425 20 37 -1 -1 -1 -1 label : fireHydrant 0.54
357 7 986 426 20 38 -1 -1 -1 -1 label : fireHydrant 0.57
358 7 988 427 19 38 -1 -1 -1 -1 label : fireHydrant 0.59
359 7 990 428 18 38 -1 -1 -1 -1 label : fireHydrant 0.66
360 7 991 429 18 37 -1 -1 -1 -1 label : fireHydrant 0.66
361 7 991 429 19 37 -1 -1 -1 -1 label : fireHydrant 0.63
362 7 992 429 18 37 -1 -1 -1 -1 label : fireHydrant 0.60
363 7 993 428 17 38 -1 -1 -1 -1 label : fireHydrant 0.50
364 7 993 428 18 37 -1 -1 -1 -1 label : fireHydrant 0.52
365 7 994 427 17 38 -1 -1 -1 -1 label : fireHydrant 0.62
366 7 994 426 18 37 -1 -1 -1 -1 label : fireHydrant 0.64
367 7 994 425 19 37 -1 -1 -1 -1 label : fireHydrant 0.49
368 7 994 424 20 38 -1 -1 -1 -1 label : fireHydrant 0.65
369 7 995 424 19 38 -1 -1 -1 -1 label : fireHydrant 0.69
370 7 995 424 19 38 -1 -1 -1 -1 label : fireHydrant 0.66
371 7 995 423 20 39 -1 -1 -1 -1 label : fireHydrant 0.66
372 7 995 423 20 39 -1 -1 -1 -1 label : fireHydrant 0.66
373 7 996 424 20 38 -1 -1 -1 -1 label : fireHydrant 0.67
374 7 996 424 20 38 -1 -1 -1 -1 label : fireHydrant 0.66
375 7 997 424 20 39 -1 -1 -1 -1 label : fireHydrant 0.67
376 7 997 424 20 39 -1 -1 -1 -1 label : fireHydrant 0.64
377 7 997 425 20 39 -1 -1 -1 -1 label : fireHydrant 0.66
378 7 997 425 20 38 -1 -1 -1 -1 label : fireHydrant 0.63
379 7 997 425 20 38 -1 -1 -1 -1 label : fireHydrant 0.66
380 7 997 425 20 37 -1 -1 -1 -1 label : fireHydrant 0.66
381 7 998 425 18 37 -1 -1 -1 -1 label : fireHydrant 0.64
382 7 997 424 19 38 -1 -1 -1 -1 label : fireHydrant 0.64
383 7 997 424 19 38 -1 -1 -1 -1 label : fireHydrant 0.60
