275 1 227 447 136 60 -1 -1 -1 -1 label : spot-0.62
276 1 221 449 109 61 -1 -1 -1 -1 label : spot-0.53
277 1 208 453 113 62 -1 -1 -1 -1 label : spot-0.48
278 1 191 458 164 66 -1 -1 -1 -1 label : spot-0.56
279 1 196 458 88 70 -1 -1 -1 -1 label : spot-0.46
280 1 174 457 96 71 -1 -1 -1 -1 label : spot-0.50
281 1 157 457 105 74 -1 -1 -1 -1 label : spot-0.54
282 1 141 462 119 73 -1 -1 -1 -1 label : spot-0.58
283 1 127 464 135 79 -1 -1 -1 -1 label : spot-0.55
284 1 111 466 156 84 -1 -1 -1 -1 label : spot-0.61
285 1 90 470 200 87 -1 -1 -1 -1 label : spot-0.61
286 1 67 468 256 95 -1 -1 -1 -1 label : spot-0.67
287 1 48 473 258 91 -1 -1 -1 -1 label : spot-0.55
352 2 982 422 16 36 -1 -1 -1 -1 label : fireHydrant 0.57
353 2 981 423 19 36 -1 -1 -1 -1 label : fireHydrant 0.60
354 2 982 423 18 37 -1 -1 -1 -1 label : fireHydrant 0.48
355 2 984 424 18 37 -1 -1 -1 -1 label : fireHydrant 0.59
356 2 984 425 20 39 -1 -1 -1 -1 label : fireHydrant 0.56
357 2 986 426 18 39 -1 -1 -1 -1 label : fireHydrant 0.66
358 2 989 427 17 38 -1 -1 -1 -1 label : fireHydrant 0.70
359 2 991 427 15 38 -1 -1 -1 -1 label : fireHydrant 0.69
360 2 991 428 17 36 -1 -1 -1 -1 label : fireHydrant 0.69
361 2 992 429 16 36 -1 -1 -1 -1 label : fireHydrant 0.69
362 2 993 429 16 36 -1 -1 -1 -1 label : fireHydrant 0.70
363 2 993 428 17 37 -1 -1 -1 -1 label : fireHydrant 0.69
364 2 993 428 18 36 -1 -1 -1 -1 label : fireHydrant 0.66
365 2 994 426 17 37 -1 -1 -1 -1 label : fireHydrant 0.74
366 2 994 425 19 38 -1 -1 -1 -1 label : fireHydrant 0.70
367 2 995 425 18 37 -1 -1 -1 -1 label : fireHydrant 0.68
368 2 995 424 19 38 -1 -1 -1 -1 label : fireHydrant 0.75
369 2 995 424 19 38 -1 -1 -1 -1 label : fireHydrant 0.71
370 2 996 424 18 37 -1 -1 -1 -1 label : fireHydrant 0.70
371 2 996 424 18 37 -1 -1 -1 -1 label : fireHydrant 0.71
372 2 998 423 17 38 -1 -1 -1 -1 label : fireHydrant 0.70
373 2 998 423 17 38 -1 -1 -1 -1 label : fireHydrant 0.70
374 2 998 423 17 38 -1 -1 -1 -1 label : fireHydrant 0.67
375 2 998 423 17 38 -1 -1 -1 -1 label : fireHydrant 0.69
376 2 998 423 18 38 -1 -1 -1 -1 label : fireHydrant 0.68
377 2 998 424 18 37 -1 -1 -1 -1 label : fireHydrant 0.68
378 2 999 424 16 38 -1 -1 -1 -1 label : fireHydrant 0.67
379 2 999 424 17 37 -1 -1 -1 -1 label : fireHydrant 0.69
380 2 999 423 16 38 -1 -1 -1 -1 label : fireHydrant 0.70
381 2 999 423 16 38 -1 -1 -1 -1 label : fireHydrant 0.70
382 2 998 423 17 38 -1 -1 -1 -1 label : fireHydrant 0.70
383 2 997 424 18 38 -1 -1 -1 -1 label : fireHydrant 0.69
384 2 997 425 18 36 -1 -1 -1 -1 label : fireHydrant 0.70
385 2 997 426 18 36 -1 -1 -1 -1 label : fireHydrant 0.68
386 2 997 428 18 35 -1 -1 -1 -1 label : fireHydrant 0.66
387 2 998 429 16 35 -1 -1 -1 -1 label : fireHydrant 0.60
388 2 998 431 17 34 -1 -1 -1 -1 label : fireHydrant 0.58
389 2 999 432 16 34 -1 -1 -1 -1 label : fireHydrant 0.61
390 2 998 433 16 35 -1 -1 -1 -1 label : fireHydrant 0.69
391 2 997 435 18 35 -1 -1 -1 -1 label : fireHydrant 0.73
392 2 997 437 17 34 -1 -1 -1 -1 label : fireHydrant 0.73
393 2 997 438 18 34 -1 -1 -1 -1 label : fireHydrant 0.72
394 2 997 438 18 35 -1 -1 -1 -1 label : fireHydrant 0.73
395 2 997 438 17 35 -1 -1 -1 -1 label : fireHydrant 0.72
396 2 997 438 17 35 -1 -1 -1 -1 label : fireHydrant 0.71
397 2 997 438 17 34 -1 -1 -1 -1 label : fireHydrant 0.70
398 2 998 437 16 34 -1 -1 -1 -1 label : fireHydrant 0.70
399 2 999 436 15 35 -1 -1 -1 -1 label : fireHydrant 0.69
400 2 998 436 17 34 -1 -1 -1 -1 label : fireHydrant 0.69
401 2 998 436 17 34 -1 -1 -1 -1 label : fireHydrant 0.72
402 2 998 435 16 35 -1 -1 -1 -1 label : fireHydrant 0.71
403 2 997 435 18 35 -1 -1 -1 -1 label : fireHydrant 0.71
404 2 998 435 16 35 -1 -1 -1 -1 label : fireHydrant 0.71
405 2 998 435 16 35 -1 -1 -1 -1 label : fireHydrant 0.71
406 2 998 435 17 35 -1 -1 -1 -1 label : fireHydrant 0.70
407 2 998 435 16 35 -1 -1 -1 -1 label : fireHydrant 0.70
408 2 998 435 16 35 -1 -1 -1 -1 label : fireHydrant 0.70
409 2 998 435 17 35 -1 -1 -1 -1 label : fireHydrant 0.69
410 2 999 435 15 35 -1 -1 -1 -1 label : fireHydrant 0.66
411 2 999 435 16 35 -1 -1 -1 -1 label : fireHydrant 0.66
412 2 998 435 17 35 -1 -1 -1 -1 label : fireHydrant 0.62
413 2 998 435 17 35 -1 -1 -1 -1 label : fireHydrant 0.62
414 2 998 434 18 36 -1 -1 -1 -1 label : fireHydrant 0.64
415 2 999 434 16 35 -1 -1 -1 -1 label : fireHydrant 0.63
416 2 999 434 17 35 -1 -1 -1 -1 label : fireHydrant 0.60
417 2 1000 434 16 35 -1 -1 -1 -1 label : fireHydrant 0.61
418 2 999 434 17 34 -1 -1 -1 -1 label : fireHydrant 0.64
419 2 1000 434 15 34 -1 -1 -1 -1 label : fireHydrant 0.65
420 2 1000 434 15 33 -1 -1 -1 -1 label : fireHydrant 0.67
421 2 1000 433 16 34 -1 -1 -1 -1 label : fireHydrant 0.67
422 2 1001 433 14 34 -1 -1 -1 -1 label : fireHydrant 0.66
