33 1 187 400 98 32 -1 -1 -1 -1 label : spot-0.42
34 1 186 401 98 31 -1 -1 -1 -1 label : spot-0.42
35 1 178 401 102 31 -1 -1 -1 -1 label : spot-0.37
36 1 177 401 101 31 -1 -1 -1 -1 label : spot-0.37
41 2 1106 438 82 46 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
42 2 1108 439 83 46 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
43 2 1109 438 87 47 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
44 2 1109 438 88 47 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
45 2 1110 438 104 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
46 2 1113 438 103 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.41
47 2 1120 438 95 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
48 2 1121 438 95 44 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
49 2 1125 438 93 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
50 2 1126 437 93 46 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
51 2 1132 436 112 47 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
52 2 1138 436 113 47 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
53 2 1141 435 121 48 -1 -1 -1 -1 label : invalidSpot-entrance 0.49
54 2 1144 434 121 48 -1 -1 -1 -1 label : invalidSpot-entrance 0.49
55 2 1151 433 122 51 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
56 2 1152 432 125 53 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
57 1 65 400 144 36 -1 -1 -1 -1 label : spot-0.48
57 2 1163 430 114 55 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
58 1 63 399 145 38 -1 -1 -1 -1 label : spot-0.47
58 2 1165 430 114 55 -1 -1 -1 -1 label : invalidSpot-entrance 0.34
59 1 58 399 147 38 -1 -1 -1 -1 label : spot-0.49
60 2 1176 431 103 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.50
61 2 1186 431 93 56 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
62 2 1188 430 91 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
63 2 1195 432 84 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.39
