64 1 999 447 280 58 -1 -1 -1 -1 label : spot-0.46
65 1 1001 448 278 56 -1 -1 -1 -1 label : spot-0.46
69 1 990 449 285 73 -1 -1 -1 -1 label : spot-0.47
70 1 977 452 302 74 -1 -1 -1 -1 label : spot-0.46
71 1 975 453 304 74 -1 -1 -1 -1 label : spot-0.47
72 1 961 454 318 75 -1 -1 -1 -1 label : spot-0.47
73 1 957 454 322 76 -1 -1 -1 -1 label : spot-0.47
74 1 953 456 326 75 -1 -1 -1 -1 label : spot-0.43
75 1 953 457 326 75 -1 -1 -1 -1 label : spot-0.43
76 1 944 457 335 73 -1 -1 -1 -1 label : spot-0.42
77 1 945 458 334 71 -1 -1 -1 -1 label : spot-0.43
78 1 947 459 329 73 -1 -1 -1 -1 label : spot-0.48
79 1 945 459 333 75 -1 -1 -1 -1 label : spot-0.48
80 1 937 458 342 74 -1 -1 -1 -1 label : spot-0.44
81 1 937 458 342 74 -1 -1 -1 -1 label : spot-0.44
96 1 915 456 363 79 -1 -1 -1 -1 label : spot-0.46
97 1 908 456 369 80 -1 -1 -1 -1 label : spot-0.45
106 1 919 462 358 79 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
107 1 922 465 357 78 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
218 5 227 418 83 21 -1 -1 -1 -1 label : spot-1 0.47
219 5 224 417 85 23 -1 -1 -1 -1 label : spot-1 0.47
220 5 223 417 86 22 -1 -1 -1 -1 label : spot-1 0.42
221 5 223 417 86 22 -1 -1 -1 -1 label : spot-1 0.42
222 5 217 417 93 22 -1 -1 -1 -1 label : spot-1 0.48
223 5 216 417 93 23 -1 -1 -1 -1 label : spot-1 0.48
224 5 212 418 92 23 -1 -1 -1 -1 label : spot-1 0.44
225 5 210 418 93 23 -1 -1 -1 -1 label : spot-1 0.44
228 5 203 419 94 23 -1 -1 -1 -1 label : spot-1 0.49
229 5 200 419 95 24 -1 -1 -1 -1 label : spot-1 0.49
230 5 195 419 99 24 -1 -1 -1 -1 label : spot-1 0.50
231 5 195 419 97 25 -1 -1 -1 -1 label : spot-1 0.49
234 5 184 421 104 25 -1 -1 -1 -1 label : spot-1 0.44
235 5 180 421 105 25 -1 -1 -1 -1 label : spot-1 0.44
236 5 176 422 108 26 -1 -1 -1 -1 label : spot-1 0.50
237 5 174 422 110 27 -1 -1 -1 -1 label : spot-1 0.50
238 5 167 422 115 27 -1 -1 -1 -1 label : spot-1 0.44
239 5 165 423 115 26 -1 -1 -1 -1 label : spot-1 0.45
242 5 159 423 112 27 -1 -1 -1 -1 label : spot-1 0.50
243 5 155 423 115 28 -1 -1 -1 -1 label : spot-1 0.50
244 5 149 425 122 27 -1 -1 -1 -1 label : spot-1 0.51
245 5 149 425 121 28 -1 -1 -1 -1 label : spot-1 0.51
246 5 146 427 111 28 -1 -1 -1 -1 label : spot-1 0.51
247 5 142 428 112 28 -1 -1 -1 -1 label : spot-1 0.50
524 6 829 345 13 31 -1 -1 -1 -1 label : fireHydrant 0.51
525 6 830 346 13 31 -1 -1 -1 -1 label : fireHydrant 0.51
532 6 839 351 14 29 -1 -1 -1 -1 label : fireHydrant 0.51
533 6 843 353 13 29 -1 -1 -1 -1 label : fireHydrant 0.52
540 6 763 352 10 27 -1 -1 -1 -1 label : fireHydrant 0.49
541 6 733 351 9 27 -1 -1 -1 -1 label : fireHydrant 0.51
542 6 724 352 9 26 -1 -1 -1 -1 label : fireHydrant 0.54
543 6 722 352 9 26 -1 -1 -1 -1 label : fireHydrant 0.54
554 6 731 346 9 29 -1 -1 -1 -1 label : fireHydrant 0.45
555 6 734 344 10 30 -1 -1 -1 -1 label : fireHydrant 0.46
556 6 737 344 10 30 -1 -1 -1 -1 label : fireHydrant 0.62
557 6 738 344 11 30 -1 -1 -1 -1 label : fireHydrant 0.61
562 6 743 344 12 32 -1 -1 -1 -1 label : fireHydrant 0.60
563 6 745 344 12 32 -1 -1 -1 -1 label : fireHydrant 0.58
564 6 749 342 13 36 -1 -1 -1 -1 label : fireHydrant 0.53
565 6 751 342 12 36 -1 -1 -1 -1 label : fireHydrant 0.53
566 6 753 342 13 37 -1 -1 -1 -1 label : fireHydrant 0.61
567 6 754 342 13 38 -1 -1 -1 -1 label : fireHydrant 0.62
568 6 755 342 13 36 -1 -1 -1 -1 label : fireHydrant 0.62
569 6 756 342 12 36 -1 -1 -1 -1 label : fireHydrant 0.62
