32 2 746 454 529 142 -1 -1 -1 -1 label : spot-0.47
33 2 730 455 549 146 -1 -1 -1 -1 label : spot-0.48
34 2 723 456 556 140 -1 -1 -1 -1 label : spot-0.47
40 2 779 448 489 143 -1 -1 -1 -1 label : spot-0.44
43 2 790 444 485 141 -1 -1 -1 -1 label : spot-0.43
46 2 798 444 477 147 -1 -1 -1 -1 label : spot-0.43
71 2 744 463 535 133 -1 -1 -1 -1 label : spot-0.45
72 2 753 468 523 133 -1 -1 -1 -1 label : spot-0.43
74 2 738 472 540 135 -1 -1 -1 -1 label : spot-0.45
76 2 728 472 549 135 -1 -1 -1 -1 label : spot-0.47
77 2 729 471 546 137 -1 -1 -1 -1 label : spot-0.44
78 2 729 471 546 138 -1 -1 -1 -1 label : spot-0.47
79 2 725 472 553 137 -1 -1 -1 -1 label : spot-0.46
80 2 723 473 556 136 -1 -1 -1 -1 label : spot-0.47
81 2 722 473 557 136 -1 -1 -1 -1 label : spot-0.46
84 2 729 477 548 134 -1 -1 -1 -1 label : spot-0.42
85 2 734 480 541 132 -1 -1 -1 -1 label : spot-0.48
89 2 810 487 447 136 -1 -1 -1 -1 label : spot-0.44
90 2 808 491 462 138 -1 -1 -1 -1 label : spot-0.43
92 2 828 493 443 138 -1 -1 -1 -1 label : spot-0.43
98 2 794 497 485 134 -1 -1 -1 -1 label : spot-1 0.51
99 2 779 501 500 128 -1 -1 -1 -1 label : spot-1 0.60
100 2 795 506 484 125 -1 -1 -1 -1 label : spot-1 0.58
101 2 800 509 478 126 -1 -1 -1 -1 label : spot-1 0.62
102 2 803 512 476 121 -1 -1 -1 -1 label : spot-1 0.59
103 2 810 514 469 118 -1 -1 -1 -1 label : spot-1 0.64
104 2 823 517 453 117 -1 -1 -1 -1 label : spot-1 0.52
105 2 835 518 442 116 -1 -1 -1 -1 label : spot-1 0.50
107 2 901 524 365 113 -1 -1 -1 -1 label : spot-1 0.48
254 10 853 490 425 106 -1 -1 -1 -1 label : spot-1 0.50
255 10 867 494 408 114 -1 -1 -1 -1 label : spot-1 0.50
528 15 911 375 11 31 -1 -1 -1 -1 label : fireHydrant 0.46
529 15 910 374 13 33 -1 -1 -1 -1 label : fireHydrant 0.51
530 15 910 375 12 32 -1 -1 -1 -1 label : fireHydrant 0.52
531 15 909 374 13 34 -1 -1 -1 -1 label : fireHydrant 0.48
532 15 909 375 14 33 -1 -1 -1 -1 label : fireHydrant 0.51
535 15 910 376 12 32 -1 -1 -1 -1 label : fireHydrant 0.45
699 16 910 379 13 34 -1 -1 -1 -1 label : fireHydrant 0.50
742 18 910 380 14 32 -1 -1 -1 -1 label : fireHydrant 0.46
743 18 909 380 15 32 -1 -1 -1 -1 label : fireHydrant 0.44
744 18 909 380 15 32 -1 -1 -1 -1 label : fireHydrant 0.45
745 18 909 380 15 32 -1 -1 -1 -1 label : fireHydrant 0.49
820 19 911 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.50
821 19 910 379 14 33 -1 -1 -1 -1 label : fireHydrant 0.53
822 19 910 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.53
823 19 909 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.55
824 19 909 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.54
825 19 909 379 14 33 -1 -1 -1 -1 label : fireHydrant 0.54
826 19 909 379 14 33 -1 -1 -1 -1 label : fireHydrant 0.50
827 19 909 379 15 33 -1 -1 -1 -1 label : fireHydrant 0.46
828 19 909 378 14 34 -1 -1 -1 -1 label : fireHydrant 0.48
831 19 910 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.42
835 19 910 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.46
860 19 910 379 13 34 -1 -1 -1 -1 label : fireHydrant 0.50
861 19 910 379 14 33 -1 -1 -1 -1 label : fireHydrant 0.56
862 19 910 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.50
863 19 909 379 15 33 -1 -1 -1 -1 label : fireHydrant 0.51
864 19 910 378 13 34 -1 -1 -1 -1 label : fireHydrant 0.47
866 19 909 378 15 34 -1 -1 -1 -1 label : fireHydrant 0.50
867 19 909 378 15 33 -1 -1 -1 -1 label : fireHydrant 0.42
868 19 909 378 15 33 -1 -1 -1 -1 label : fireHydrant 0.44
869 19 910 378 13 33 -1 -1 -1 -1 label : fireHydrant 0.44
870 19 910 378 12 34 -1 -1 -1 -1 label : fireHydrant 0.44
871 19 909 378 14 34 -1 -1 -1 -1 label : fireHydrant 0.43
872 19 909 378 13 34 -1 -1 -1 -1 label : fireHydrant 0.43
877 19 909 378 14 34 -1 -1 -1 -1 label : fireHydrant 0.46
878 19 909 378 14 33 -1 -1 -1 -1 label : fireHydrant 0.47
879 19 909 378 14 33 -1 -1 -1 -1 label : fireHydrant 0.47
880 19 910 378 13 33 -1 -1 -1 -1 label : fireHydrant 0.46
902 19 910 378 13 34 -1 -1 -1 -1 label : fireHydrant 0.43
909 19 910 379 13 34 -1 -1 -1 -1 label : fireHydrant 0.45
910 19 909 379 14 34 -1 -1 -1 -1 label : fireHydrant 0.48
911 19 909 379 14 34 -1 -1 -1 -1 label : fireHydrant 0.47
912 19 909 379 14 34 -1 -1 -1 -1 label : fireHydrant 0.48
913 19 910 379 12 34 -1 -1 -1 -1 label : fireHydrant 0.48
915 19 910 379 12 34 -1 -1 -1 -1 label : fireHydrant 0.42
916 19 909 379 13 34 -1 -1 -1 -1 label : fireHydrant 0.44
917 19 909 379 13 34 -1 -1 -1 -1 label : fireHydrant 0.44
918 19 909 378 13 35 -1 -1 -1 -1 label : fireHydrant 0.47
919 19 909 378 13 35 -1 -1 -1 -1 label : fireHydrant 0.48
920 19 909 378 13 35 -1 -1 -1 -1 label : fireHydrant 0.53
921 19 909 379 14 34 -1 -1 -1 -1 label : fireHydrant 0.53
922 19 909 379 14 34 -1 -1 -1 -1 label : fireHydrant 0.45
925 19 910 379 13 34 -1 -1 -1 -1 label : fireHydrant 0.51
926 19 910 380 13 33 -1 -1 -1 -1 label : fireHydrant 0.56
927 19 910 380 13 33 -1 -1 -1 -1 label : fireHydrant 0.54
928 19 911 380 13 33 -1 -1 -1 -1 label : fireHydrant 0.51
929 19 911 380 13 33 -1 -1 -1 -1 label : fireHydrant 0.51
930 19 911 380 13 33 -1 -1 -1 -1 label : fireHydrant 0.53
931 19 911 379 12 34 -1 -1 -1 -1 label : fireHydrant 0.49
932 19 910 379 13 34 -1 -1 -1 -1 label : fireHydrant 0.51
933 19 909 379 14 34 -1 -1 -1 -1 label : fireHydrant 0.51
934 19 909 378 14 35 -1 -1 -1 -1 label : fireHydrant 0.53
935 19 909 378 14 35 -1 -1 -1 -1 label : fireHydrant 0.49
936 19 910 378 13 35 -1 -1 -1 -1 label : fireHydrant 0.47
937 19 910 378 13 35 -1 -1 -1 -1 label : fireHydrant 0.43
938 19 910 378 14 35 -1 -1 -1 -1 label : fireHydrant 0.48
939 19 911 378 13 35 -1 -1 -1 -1 label : fireHydrant 0.50
940 19 911 378 13 35 -1 -1 -1 -1 label : fireHydrant 0.50
1004 23 910 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.44
1007 23 910 379 12 33 -1 -1 -1 -1 label : fireHydrant 0.42
1008 23 909 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.47
1009 23 910 378 13 34 -1 -1 -1 -1 label : fireHydrant 0.53
1010 23 910 378 14 34 -1 -1 -1 -1 label : fireHydrant 0.51
1011 23 910 378 14 34 -1 -1 -1 -1 label : fireHydrant 0.53
1012 23 910 378 13 34 -1 -1 -1 -1 label : fireHydrant 0.45
1013 23 910 378 13 34 -1 -1 -1 -1 label : fireHydrant 0.43
1014 23 910 378 12 34 -1 -1 -1 -1 label : fireHydrant 0.42
1015 23 909 379 14 33 -1 -1 -1 -1 label : fireHydrant 0.46
1021 23 910 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.50
1022 23 910 379 13 33 -1 -1 -1 -1 label : fireHydrant 0.43
1027 23 910 380 14 32 -1 -1 -1 -1 label : fireHydrant 0.45
