3 1 1 474 244 70 -1 -1 -1 -1 label : spot-0.31
4 1 4 477 234 76 -1 -1 -1 -1 label : spot-0.39
5 1 3 478 232 81 -1 -1 -1 -1 label : spot-0.34
6 1 3 481 223 87 -1 -1 -1 -1 label : spot-0.35
13 1 0 482 187 75 -1 -1 -1 -1 label : spot-0.32
30 3 247 446 127 24 -1 -1 -1 -1 label : invalidSpot-entrance 0.34
31 3 245 446 127 24 -1 -1 -1 -1 label : invalidSpot-entrance 0.34
32 3 241 446 129 25 -1 -1 -1 -1 label : invalidSpot-entrance 0.32
33 3 240 446 128 26 -1 -1 -1 -1 label : invalidSpot-entrance 0.32
36 3 228 447 141 27 -1 -1 -1 -1 label : invalidSpot-entrance 0.31
38 3 220 448 150 28 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
39 3 218 448 153 29 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
42 3 206 449 159 30 -1 -1 -1 -1 label : invalidSpot-entrance 0.38
43 3 202 449 160 31 -1 -1 -1 -1 label : invalidSpot-entrance 0.38
44 3 198 450 158 31 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
45 3 197 451 157 31 -1 -1 -1 -1 label : invalidSpot-entrance 0.37
46 3 187 452 165 30 -1 -1 -1 -1 label : invalidSpot-entrance 0.39
47 3 186 453 163 29 -1 -1 -1 -1 label : invalidSpot-entrance 0.39
48 3 186 453 139 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.39
49 3 179 453 144 33 -1 -1 -1 -1 label : invalidSpot-entrance 0.39
50 3 167 455 163 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.37
51 3 167 455 162 33 -1 -1 -1 -1 label : invalidSpot-entrance 0.37
52 3 159 456 168 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
53 3 158 457 168 31 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
54 3 153 457 177 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.34
55 3 152 457 180 33 -1 -1 -1 -1 label : invalidSpot-entrance 0.35
56 3 160 457 118 37 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
57 3 151 456 117 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
58 3 124 457 190 38 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
59 3 129 457 187 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
60 3 122 458 203 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
61 3 121 458 206 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
62 3 116 458 214 40 -1 -1 -1 -1 label : invalidSpot-entrance 0.51
63 3 116 459 214 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.52
64 3 110 460 215 41 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
65 3 106 460 219 42 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
66 3 115 461 136 46 -1 -1 -1 -1 label : invalidSpot-entrance 0.49
67 3 100 461 141 48 -1 -1 -1 -1 label : invalidSpot-entrance 0.49
68 3 80 461 186 49 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
69 3 80 462 189 48 -1 -1 -1 -1 label : invalidSpot-entrance 0.35
74 3 62 466 167 51 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
