96 1 228 398 213 93 -1 -1 -1 -1 label : spot-0.32
97 1 226 397 211 94 -1 -1 -1 -1 label : spot-0.33
100 1 188 398 244 103 -1 -1 -1 -1 label : spot-0.50
101 1 157 402 271 112 -1 -1 -1 -1 label : spot-0.58
102 1 149 403 277 116 -1 -1 -1 -1 label : spot-0.58
103 1 116 404 311 118 -1 -1 -1 -1 label : spot-0.59
104 1 109 404 315 117 -1 -1 -1 -1 label : spot-0.58
105 1 59 407 363 107 -1 -1 -1 -1 label : spot-0.48
106 1 57 408 350 102 -1 -1 -1 -1 label : spot-0.49
107 1 13 409 385 109 -1 -1 -1 -1 label : spot-0.54
108 1 0 410 395 111 -1 -1 -1 -1 label : spot-0.55
109 1 0 414 399 106 -1 -1 -1 -1 label : spot-0.36
110 1 0 415 393 105 -1 -1 -1 -1 label : spot-0.37
111 1 0 419 386 107 -1 -1 -1 -1 label : spot-0.40
112 1 0 421 388 105 -1 -1 -1 -1 label : spot-0.40
113 1 1 423 365 107 -1 -1 -1 -1 label : spot-0.34
114 1 0 425 366 107 -1 -1 -1 -1 label : spot-0.34
115 1 8 425 343 120 -1 -1 -1 -1 label : spot-0.36
116 1 0 425 357 126 -1 -1 -1 -1 label : spot-0.35
117 1 0 426 355 128 -1 -1 -1 -1 label : spot-0.35
118 1 0 426 355 130 -1 -1 -1 -1 label : spot-0.35
119 1 5 428 335 141 -1 -1 -1 -1 label : spot-0.34
119 2 781 398 204 84 -1 -1 -1 -1 label : spot-1 0.32
120 1 0 429 342 144 -1 -1 -1 -1 label : spot-0.34
120 2 785 399 203 82 -1 -1 -1 -1 label : spot-1 0.32
127 2 800 405 262 76 -1 -1 -1 -1 label : spot-1 0.33
128 2 818 406 256 76 -1 -1 -1 -1 label : spot-1 0.35
129 2 811 408 309 74 -1 -1 -1 -1 label : spot-1 0.32
130 2 819 410 307 71 -1 -1 -1 -1 label : spot-1 0.31
131 2 829 411 320 73 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.38
132 2 834 412 322 73 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
151 5 282 388 166 67 -1 -1 -1 -1 label : spot-1 0.39
152 5 279 389 166 68 -1 -1 -1 -1 label : spot-1 0.40
155 5 258 393 188 79 -1 -1 -1 -1 label : spot-1 0.44
156 5 251 394 196 83 -1 -1 -1 -1 label : spot-1 0.45
157 5 238 396 202 94 -1 -1 -1 -1 label : spot-1 0.50
158 5 231 396 210 98 -1 -1 -1 -1 label : spot-1 0.50
159 5 208 399 231 99 -1 -1 -1 -1 label : spot-1 0.42
160 5 202 400 234 99 -1 -1 -1 -1 label : spot-1 0.42
161 5 180 401 252 100 -1 -1 -1 -1 label : spot-1 0.44
162 5 175 401 253 101 -1 -1 -1 -1 label : spot-1 0.45
163 5 135 406 310 87 -1 -1 -1 -1 label : spot-1 0.33
164 5 142 407 288 82 -1 -1 -1 -1 label : spot-1 0.33
221 8 842 422 286 87 -1 -1 -1 -1 label : spot-1 0.32
222 8 846 424 292 89 -1 -1 -1 -1 label : spot-1 0.35
223 8 857 427 308 96 -1 -1 -1 -1 label : spot-1 0.36
224 8 858 428 316 98 -1 -1 -1 -1 label : spot-1 0.39
225 8 865 434 376 130 -1 -1 -1 -1 label : spot-1 0.49
226 8 862 436 408 141 -1 -1 -1 -1 label : spot-1 0.48
227 8 854 437 425 132 -1 -1 -1 -1 label : spot-1 0.58
228 8 865 437 414 127 -1 -1 -1 -1 label : spot-1 0.58
229 8 885 446 394 131 -1 -1 -1 -1 label : spot-1 0.50
230 8 885 449 394 132 -1 -1 -1 -1 label : spot-1 0.51
231 8 893 450 386 131 -1 -1 -1 -1 label : spot-1 0.53
232 8 895 451 384 129 -1 -1 -1 -1 label : spot-1 0.52
233 8 926 456 351 136 -1 -1 -1 -1 label : spot-1 0.34
234 8 923 457 356 139 -1 -1 -1 -1 label : spot-1 0.35
329 9 823 427 454 150 -1 -1 -1 -1 label : spot-1 0.43
330 9 826 428 453 149 -1 -1 -1 -1 label : spot-1 0.44
331 9 836 428 441 149 -1 -1 -1 -1 label : spot-1 0.45
332 9 837 428 441 148 -1 -1 -1 -1 label : spot-1 0.44
333 9 844 428 431 152 -1 -1 -1 -1 label : spot-1 0.39
334 9 842 428 436 153 -1 -1 -1 -1 label : spot-1 0.37
335 9 853 432 425 154 -1 -1 -1 -1 label : spot-1 0.45
336 9 855 433 424 154 -1 -1 -1 -1 label : spot-1 0.44
337 9 860 436 419 149 -1 -1 -1 -1 label : spot-1 0.44
338 9 866 437 413 149 -1 -1 -1 -1 label : spot-1 0.43
339 9 880 443 393 154 -1 -1 -1 -1 label : spot-1 0.44
340 9 878 445 399 156 -1 -1 -1 -1 label : spot-1 0.44
341 9 898 444 375 162 -1 -1 -1 -1 label : spot-1 0.33
342 9 898 444 381 163 -1 -1 -1 -1 label : spot-1 0.34
343 9 907 450 372 161 -1 -1 -1 -1 label : spot-1 0.31
344 9 909 452 370 160 -1 -1 -1 -1 label : spot-1 0.31
417 12 743 387 249 69 -1 -1 -1 -1 label : invalidSpot-entrance 0.35
418 12 745 389 250 69 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
419 12 749 392 256 71 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
420 12 751 394 258 70 -1 -1 -1 -1 label : invalidSpot-entrance 0.46
421 12 768 396 259 77 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
422 12 772 397 264 79 -1 -1 -1 -1 label : invalidSpot-entrance 0.37
423 12 770 399 287 82 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
424 12 772 399 291 84 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
425 12 771 400 302 85 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
426 12 770 400 305 86 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
427 12 772 402 321 89 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
428 12 772 401 325 92 -1 -1 -1 -1 label : invalidSpot-entrance 0.41
429 12 778 401 329 96 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
430 12 778 401 334 97 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
431 12 790 402 334 103 -1 -1 -1 -1 label : invalidSpot-entrance 0.46
432 12 790 402 341 106 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
433 12 787 403 371 116 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
434 12 785 403 383 120 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
435 12 789 405 389 123 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
436 12 788 406 393 124 -1 -1 -1 -1 label : invalidSpot-entrance 0.32
437 12 787 407 464 136 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
438 12 792 408 479 139 -1 -1 -1 -1 label : invalidSpot-entrance 0.36
439 12 799 410 475 145 -1 -1 -1 -1 label : invalidSpot-entrance 0.41
440 12 797 410 482 147 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
441 12 802 413 477 146 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
442 12 804 414 475 145 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
443 12 854 419 419 148 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
444 12 861 421 418 148 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
455 17 5 411 350 91 -1 -1 -1 -1 label : spot-1 0.34
456 17 3 412 355 93 -1 -1 -1 -1 label : spot-1 0.33
457 12 1005 431 273 121 -1 -1 -1 -1 label : invalidSpot-entrance 0.30
458 12 1011 432 267 117 -1 -1 -1 -1 label : invalidSpot-entrance 0.30
459 12 1032 438 243 125 -1 -1 -1 -1 label : invalidSpot-entrance 0.32
459 17 2 410 354 99 -1 -1 -1 -1 label : spot-1 0.31
460 12 1033 441 246 126 -1 -1 -1 -1 label : invalidSpot-entrance 0.32
461 12 1051 443 226 128 -1 -1 -1 -1 label : invalidSpot-entrance 0.31
482 17 227 395 48 94 -1 -1 -1 -1 label : fireHydrant 0.46
483 17 223 396 51 93 -1 -1 -1 -1 label : fireHydrant 0.42
484 17 221 397 50 93 -1 -1 -1 -1 label : fireHydrant 0.39
545 20 703 378 216 84 -1 -1 -1 -1 label : spot-1 0.31
546 20 704 378 217 84 -1 -1 -1 -1 label : spot-1 0.32
547 20 705 377 217 85 -1 -1 -1 -1 label : spot-1 0.38
549 21 860 316 23 71 -1 -1 -1 -1 label : fireHydrant 0.47
550 21 861 317 22 69 -1 -1 -1 -1 label : fireHydrant 0.42
551 20 717 381 242 99 -1 -1 -1 -1 label : spot-1 0.39
552 20 718 382 245 99 -1 -1 -1 -1 label : spot-1 0.41
553 20 725 382 251 105 -1 -1 -1 -1 label : spot-1 0.42
554 20 726 383 256 106 -1 -1 -1 -1 label : spot-1 0.43
555 20 723 383 272 108 -1 -1 -1 -1 label : spot-1 0.44
556 20 723 384 275 107 -1 -1 -1 -1 label : spot-1 0.43
557 20 726 384 289 109 -1 -1 -1 -1 label : spot-1 0.38
558 20 728 384 291 110 -1 -1 -1 -1 label : spot-1 0.39
559 20 738 386 288 112 -1 -1 -1 -1 label : spot-1 0.42
560 20 740 386 291 113 -1 -1 -1 -1 label : spot-1 0.39
561 20 732 389 316 118 -1 -1 -1 -1 label : spot-1 0.46
562 20 731 390 321 121 -1 -1 -1 -1 label : spot-1 0.47
563 20 715 392 370 111 -1 -1 -1 -1 label : spot-1 0.42
564 20 726 393 355 107 -1 -1 -1 -1 label : spot-1 0.43
