8 1 722 378 173 81 -1 -1 -1 -1 label : spot-0.56
9 1 731 379 177 91 -1 -1 -1 -1 label : spot-0.56
10 1 735 380 184 102 -1 -1 -1 -1 label : spot-0.55
11 1 730 384 221 101 -1 -1 -1 -1 label : spot-0.56
12 1 723 387 265 85 -1 -1 -1 -1 label : spot-0.61
13 1 732 391 298 77 -1 -1 -1 -1 label : spot-0.57
14 1 747 394 310 78 -1 -1 -1 -1 label : spot-0.64
15 1 763 397 336 90 -1 -1 -1 -1 label : spot-0.49
16 1 771 400 351 91 -1 -1 -1 -1 label : spot-0.55
17 2 748 405 529 141 -1 -1 -1 -1 label : spot-0.65
18 2 779 412 497 152 -1 -1 -1 -1 label : spot-0.68
19 2 782 416 497 155 -1 -1 -1 -1 label : spot-0.68
20 2 786 420 493 154 -1 -1 -1 -1 label : spot-0.72
21 2 793 423 486 150 -1 -1 -1 -1 label : spot-0.56
22 2 801 425 478 146 -1 -1 -1 -1 label : spot-0.53
23 2 811 429 468 140 -1 -1 -1 -1 label : spot-1 0.39
24 2 820 430 456 137 -1 -1 -1 -1 label : spot-1 0.48
25 2 830 431 448 140 -1 -1 -1 -1 label : spot-1 0.49
26 2 842 433 437 140 -1 -1 -1 -1 label : spot-1 0.53
27 2 853 435 426 139 -1 -1 -1 -1 label : spot-1 0.58
28 2 870 440 407 142 -1 -1 -1 -1 label : spot-1 0.66
29 2 887 445 391 144 -1 -1 -1 -1 label : spot-1 0.64
30 2 902 450 376 147 -1 -1 -1 -1 label : spot-1 0.59
31 2 934 457 344 143 -1 -1 -1 -1 label : spot-1 0.51
32 2 965 464 311 144 -1 -1 -1 -1 label : spot-1 0.43
33 2 973 474 306 139 -1 -1 -1 -1 label : spot-1 0.43
203 4 816 344 14 36 -1 -1 -1 -1 label : fireHydrant 0.31
204 4 818 348 17 34 -1 -1 -1 -1 label : fireHydrant 0.47
205 4 820 340 18 43 -1 -1 -1 -1 label : fireHydrant 0.55
206 4 823 348 18 37 -1 -1 -1 -1 label : fireHydrant 0.57
207 4 826 353 18 33 -1 -1 -1 -1 label : fireHydrant 0.47
208 4 830 356 17 33 -1 -1 -1 -1 label : fireHydrant 0.46
209 4 834 358 16 33 -1 -1 -1 -1 label : fireHydrant 0.47
210 4 838 359 14 32 -1 -1 -1 -1 label : fireHydrant 0.41
211 4 841 359 15 33 -1 -1 -1 -1 label : fireHydrant 0.51
212 4 844 359 16 34 -1 -1 -1 -1 label : fireHydrant 0.37
