3 1 789 289 136 34 -1 -1 -1 -1 label : spot-0.40
4 1 791 289 142 35 -1 -1 -1 -1 label : spot-0.43
5 1 792 288 144 36 -1 -1 -1 -1 label : spot-0.43
6 1 792 287 150 36 -1 -1 -1 -1 label : spot-0.47
7 1 793 286 151 37 -1 -1 -1 -1 label : spot-0.46
8 1 793 285 155 36 -1 -1 -1 -1 label : spot-0.33
9 1 794 284 154 37 -1 -1 -1 -1 label : spot-0.33
14 2 814 278 464 156 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
15 2 815 277 464 156 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
16 2 820 276 455 165 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
17 2 816 275 463 168 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
18 1 805 272 173 42 -1 -1 -1 -1 label : spot-0.32
19 1 806 271 175 42 -1 -1 -1 -1 label : spot-0.31
22 2 819 272 460 170 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
23 2 818 271 461 172 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
24 2 816 271 463 169 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.33
25 2 818 271 461 168 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.34
26 2 812 272 467 156 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.34
27 2 819 272 460 152 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.34
38 2 829 290 450 128 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
39 2 836 293 442 124 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
40 2 838 298 441 119 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
41 2 841 300 437 117 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
42 2 840 302 438 113 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
43 2 844 303 431 112 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
44 2 843 305 435 110 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
45 2 841 307 437 104 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.38
46 2 843 309 434 99 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
47 2 847 310 427 97 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
