76 2 787 329 230 66 -1 -1 -1 -1 label : spot-0.34
77 2 783 329 240 68 -1 -1 -1 -1 label : spot-0.33
78 2 783 330 243 68 -1 -1 -1 -1 label : spot-0.37
79 2 783 330 246 69 -1 -1 -1 -1 label : spot-0.42
80 2 780 330 254 68 -1 -1 -1 -1 label : spot-0.44
81 2 780 330 255 69 -1 -1 -1 -1 label : spot-0.46
82 2 780 331 258 69 -1 -1 -1 -1 label : spot-0.41
83 2 777 332 267 67 -1 -1 -1 -1 label : spot-0.43
84 2 781 332 263 68 -1 -1 -1 -1 label : spot-0.48
85 2 784 333 261 69 -1 -1 -1 -1 label : spot-0.47
86 2 782 333 268 72 -1 -1 -1 -1 label : spot-0.47
87 2 781 333 273 75 -1 -1 -1 -1 label : spot-0.48
88 2 778 333 282 74 -1 -1 -1 -1 label : spot-0.47
89 2 778 333 286 74 -1 -1 -1 -1 label : spot-0.41
90 2 783 333 285 73 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
91 2 786 333 284 74 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
92 2 785 333 289 75 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
93 2 783 333 296 75 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.41
94 2 785 333 298 76 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
95 2 789 333 296 79 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
96 2 789 331 302 83 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
97 2 789 330 307 85 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
98 2 789 330 312 86 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
99 2 785 331 321 87 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
100 2 790 332 319 87 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
101 2 798 332 312 94 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
102 2 793 333 328 96 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
103 2 792 333 335 97 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
104 2 798 334 330 102 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
105 2 795 334 341 102 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.54
106 2 797 337 345 100 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
107 2 802 339 345 98 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
108 2 807 339 344 99 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
109 2 801 338 359 98 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
110 2 793 339 375 96 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
111 2 791 338 380 98 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.55
112 2 794 338 380 99 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
113 2 793 341 386 96 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
114 2 795 341 392 98 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.55
115 2 795 342 380 95 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
116 2 787 342 403 96 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
117 2 790 342 411 101 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.53
118 2 791 342 418 104 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
119 2 787 342 432 105 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
120 2 787 342 436 105 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
121 2 792 344 444 106 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
122 2 788 342 457 107 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
123 2 790 342 462 110 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.54
124 2 793 342 466 111 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.55
125 2 804 341 459 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.53
126 2 798 341 476 137 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
127 2 796 340 483 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
128 2 795 340 484 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
129 2 794 340 485 147 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
130 2 792 342 487 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
131 2 796 342 483 147 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
132 2 791 342 488 146 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
133 2 787 343 492 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
134 2 798 345 480 146 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
135 2 795 347 484 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
136 2 807 347 469 150 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
137 2 805 348 473 154 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
138 2 799 347 480 156 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
139 2 782 345 497 148 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
140 2 781 345 498 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
141 2 789 345 489 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
142 2 800 347 473 151 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
143 2 786 347 493 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
144 2 787 346 492 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
145 2 801 347 474 150 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
146 2 801 348 477 152 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
147 2 803 348 473 158 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
148 2 798 348 481 157 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
149 2 801 348 478 160 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
150 2 799 350 480 154 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
151 2 804 349 475 154 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
152 2 790 349 489 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
153 2 808 349 466 151 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
154 2 786 350 493 138 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.41
155 2 813 350 459 146 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
156 2 815 352 462 147 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
157 2 821 352 456 150 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
158 2 813 353 466 150 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
159 2 816 351 463 151 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
160 2 823 351 453 154 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
161 2 818 352 461 155 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
162 2 818 352 461 156 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
163 2 813 350 466 159 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
164 2 810 348 469 160 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
165 2 812 348 467 159 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
166 2 811 348 468 153 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
167 2 820 349 459 150 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.41
168 2 807 349 472 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
169 2 812 349 467 139 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
170 2 807 347 472 139 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
171 2 806 347 473 136 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
172 2 806 349 473 132 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.54
173 2 813 350 466 130 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
174 2 805 350 471 116 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.59
175 2 825 349 441 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
176 2 825 348 444 138 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
177 2 816 348 462 139 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
178 2 817 348 462 136 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
179 2 829 350 445 141 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
179 4 851 290 17 42 -1 -1 -1 -1 label : fireHydrant 0.36
180 2 817 352 462 136 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.53
180 4 852 289 17 45 -1 -1 -1 -1 label : fireHydrant 0.42
181 2 819 354 460 128 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
182 2 823 355 456 125 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
182 4 853 289 16 44 -1 -1 -1 -1 label : fireHydrant 0.31
183 2 828 357 451 122 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.52
184 2 831 355 445 126 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
185 2 827 356 452 124 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
186 2 826 356 453 120 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
187 2 831 356 446 122 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
188 2 833 356 444 123 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
189 2 845 358 425 133 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.33
190 2 838 357 440 136 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
191 2 826 358 453 123 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
192 2 845 359 430 127 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
193 2 834 359 445 118 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
194 2 844 360 435 117 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
195 2 848 360 429 117 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
196 2 857 360 414 126 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
197 2 853 358 419 135 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
198 2 851 359 426 139 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
198 4 863 289 12 27 -1 -1 -1 -1 label : fireHydrant 0.30
199 2 846 359 432 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
200 2 845 359 434 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
201 2 843 357 436 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
202 2 843 355 436 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
203 2 840 354 439 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
204 2 838 356 441 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.38
205 2 837 355 442 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
205 4 867 287 11 26 -1 -1 -1 -1 label : fireHydrant 0.42
206 2 833 354 446 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
206 4 869 287 9 26 -1 -1 -1 -1 label : fireHydrant 0.38
207 2 837 352 438 149 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.54
207 4 869 287 10 26 -1 -1 -1 -1 label : fireHydrant 0.37
208 2 837 352 438 155 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
209 2 823 351 456 152 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
210 2 832 352 447 151 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
211 2 822 350 457 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
212 2 832 349 443 149 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
212 4 871 287 12 28 -1 -1 -1 -1 label : fireHydrant 0.38
213 2 808 348 471 127 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
213 4 871 287 13 29 -1 -1 -1 -1 label : fireHydrant 0.43
214 2 829 348 445 130 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
214 4 872 287 12 31 -1 -1 -1 -1 label : fireHydrant 0.43
215 2 834 349 444 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
215 4 871 286 14 34 -1 -1 -1 -1 label : fireHydrant 0.35
216 2 849 353 423 134 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.38
216 4 872 286 13 34 -1 -1 -1 -1 label : fireHydrant 0.32
217 2 849 353 426 139 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.38
217 4 871 285 15 34 -1 -1 -1 -1 label : fireHydrant 0.36
219 2 997 368 256 130 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.38
219 4 873 284 14 35 -1 -1 -1 -1 label : fireHydrant 0.37
220 2 1019 375 256 124 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
220 4 874 284 14 34 -1 -1 -1 -1 label : fireHydrant 0.35
221 2 896 358 383 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
222 2 876 353 403 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
223 2 886 348 393 131 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
223 4 876 284 13 34 -1 -1 -1 -1 label : fireHydrant 0.33
224 2 888 346 389 135 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
225 2 887 347 386 148 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
226 2 880 349 397 153 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.41
227 2 861 349 418 141 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
227 4 878 285 13 35 -1 -1 -1 -1 label : fireHydrant 0.31
228 2 878 350 397 151 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
229 2 878 352 401 150 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.32
231 2 868 351 411 138 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
232 2 872 352 407 130 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
233 2 879 353 400 126 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
234 2 909 353 363 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.38
235 2 906 353 373 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
236 2 889 352 390 129 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
237 2 909 352 365 133 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
238 2 884 353 395 138 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
239 2 923 357 344 149 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.33
242 2 941 361 337 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
243 2 947 362 332 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
244 2 957 361 321 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
245 2 956 361 322 150 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.34
246 2 954 361 325 152 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
247 2 960 363 319 152 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.36
247 4 1048 318 16 29 -1 -1 -1 -1 label : fireHydrant 0.34
248 2 960 364 319 146 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
249 2 960 364 319 141 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.41
249 4 1057 320 14 29 -1 -1 -1 -1 label : fireHydrant 0.33
250 2 966 368 313 135 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
250 4 1058 322 14 28 -1 -1 -1 -1 label : fireHydrant 0.35
251 2 969 367 310 137 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
252 2 971 367 308 137 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
253 2 972 365 306 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
254 2 970 364 309 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
255 2 973 365 306 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
256 2 976 365 303 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
257 2 977 364 302 140 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
258 2 982 364 296 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
259 2 985 364 294 141 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
259 4 1072 316 16 32 -1 -1 -1 -1 label : fireHydrant 0.31
260 2 989 365 290 138 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
260 4 1071 316 17 32 -1 -1 -1 -1 label : fireHydrant 0.42
261 2 980 364 299 136 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
261 4 1073 316 17 32 -1 -1 -1 -1 label : fireHydrant 0.34
262 2 984 363 294 134 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
263 2 985 361 289 134 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
264 2 988 362 288 137 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
265 2 981 361 296 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.47
266 2 984 361 294 142 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.46
267 2 983 359 295 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
268 2 981 359 297 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.45
269 2 988 362 288 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
269 4 1084 313 21 35 -1 -1 -1 -1 label : fireHydrant 0.40
270 2 989 362 288 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
270 4 1084 313 22 35 -1 -1 -1 -1 label : fireHydrant 0.33
271 2 988 362 291 143 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.42
271 4 1085 313 21 35 -1 -1 -1 -1 label : fireHydrant 0.35
272 2 984 360 294 147 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
273 2 995 362 281 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.37
274 2 1005 363 271 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
275 2 1008 364 269 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.35
276 2 989 362 290 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
277 2 978 362 301 144 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.41
278 2 964 360 315 146 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.43
279 2 969 361 309 146 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.40
280 2 961 361 318 146 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
281 2 958 360 321 145 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
282 2 985 360 287 147 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.39
283 2 971 360 308 148 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.41
283 4 1101 316 19 34 -1 -1 -1 -1 label : fireHydrant 0.33
284 2 969 358 310 148 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.44
