3 1 1052 222 226 74 -1 -1 -1 -1 label : spot-0.21
4 1 1051 221 228 76 -1 -1 -1 -1 label : spot-0.21
5 1 1053 224 226 73 -1 -1 -1 -1 label : spot-0.30
6 1 1054 224 225 73 -1 -1 -1 -1 label : spot-0.31
7 1 1065 225 209 81 -1 -1 -1 -1 label : spot-0.33
8 1 1063 226 216 83 -1 -1 -1 -1 label : spot-0.32
9 1 1061 226 218 81 -1 -1 -1 -1 label : spot-0.42
10 1 1062 227 217 80 -1 -1 -1 -1 label : spot-0.42
11 1 1067 229 212 75 -1 -1 -1 -1 label : spot-0.30
12 1 1070 229 209 73 -1 -1 -1 -1 label : spot-0.30
13 1 1089 230 189 69 -1 -1 -1 -1 label : spot-0.24
13 3 559 161 49 13 -1 -1 -1 -1 label : spot-1 0.18
14 1 1095 231 184 66 -1 -1 -1 -1 label : spot-0.24
14 3 559 162 50 13 -1 -1 -1 -1 label : spot-1 0.18
15 1 1172 228 94 63 -1 -1 -1 -1 label : spot-0.18
15 3 504 170 55 15 -1 -1 -1 -1 label : spot-1 0.18
15 4 1100 231 179 62 -1 -1 -1 -1 label : spot-1 0.12
16 1 1186 226 90 63 -1 -1 -1 -1 label : spot-0.18
16 3 486 173 56 16 -1 -1 -1 -1 label : spot-1 0.18
16 4 1097 235 181 58 -1 -1 -1 -1 label : spot-1 0.12
17 1 1189 229 90 54 -1 -1 -1 -1 label : spot-0.16
18 1 1193 229 86 52 -1 -1 -1 -1 label : spot-0.16
21 3 544 174 55 13 -1 -1 -1 -1 label : spot-1 0.13
22 3 552 173 54 12 -1 -1 -1 -1 label : spot-1 0.13
32 3 475 192 63 17 -1 -1 -1 -1 label : spot-1 0.11
33 3 469 194 65 18 -1 -1 -1 -1 label : spot-1 0.22
35 3 466 202 52 18 -1 -1 -1 -1 label : spot-1 0.19
35 10 549 195 50 12 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
35 11 0 251 128 46 -1 -1 -1 -1 label : invalidSpot-fireHydrant 0.13
36 3 465 203 51 18 -1 -1 -1 -1 label : spot-1 0.19
36 10 550 196 51 12 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
36 11 0 254 120 41 -1 -1 -1 -1 label : invalidSpot-fireHydrant 0.13
37 3 462 204 51 19 -1 -1 -1 -1 label : spot-1 0.16
37 10 549 197 50 12 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
37 11 4 257 106 37 -1 -1 -1 -1 label : invalidSpot-fireHydrant 0.13
38 3 461 205 52 18 -1 -1 -1 -1 label : spot-1 0.17
38 10 549 197 50 12 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
39 3 461 206 48 19 -1 -1 -1 -1 label : spot-1 0.32
39 10 548 198 49 12 -1 -1 -1 -1 label : invalidSpot-entrance 0.19
39 13 9 213 25 53 -1 -1 -1 -1 label : fireHydrant 0.15
