6 1 948 531 331 81 -1 -1 -1 -1 label : spot-0.29
7 1 957 535 317 90 -1 -1 -1 -1 label : spot-0.13
112 4 0 463 289 94 -1 -1 -1 -1 label : spot-1 0.16
113 4 2 464 275 83 -1 -1 -1 -1 label : spot-1 0.15
114 4 6 467 269 90 -1 -1 -1 -1 label : spot-1 0.28
115 4 12 465 201 88 -1 -1 -1 -1 label : spot-1 0.17
116 4 2 469 220 89 -1 -1 -1 -1 label : spot-1 0.18
117 4 0 472 244 94 -1 -1 -1 -1 label : spot-1 0.14
118 4 0 470 231 89 -1 -1 -1 -1 label : spot-1 0.22
119 4 0 471 233 86 -1 -1 -1 -1 label : spot-1 0.21
120 4 0 472 225 82 -1 -1 -1 -1 label : spot-1 0.24
121 4 0 471 216 75 -1 -1 -1 -1 label : spot-1 0.20
122 4 6 471 195 84 -1 -1 -1 -1 label : spot-1 0.25
123 4 5 472 189 90 -1 -1 -1 -1 label : spot-1 0.11
227 13 715 463 192 38 -1 -1 -1 -1 label : spot-2 0.14
243 13 188 420 16 36 -1 -1 -1 -1 label : fireHydrant 0.11
244 13 162 415 19 40 -1 -1 -1 -1 label : fireHydrant 0.10
257 19 140 423 21 43 -1 -1 -1 -1 label : fireHydrant 0.31
258 19 139 424 20 43 -1 -1 -1 -1 label : fireHydrant 0.48
259 19 138 424 19 45 -1 -1 -1 -1 label : fireHydrant 0.43
260 19 136 424 20 46 -1 -1 -1 -1 label : fireHydrant 0.41
261 19 134 427 22 44 -1 -1 -1 -1 label : fireHydrant 0.22
262 19 132 427 23 46 -1 -1 -1 -1 label : fireHydrant 0.23
263 19 131 430 22 44 -1 -1 -1 -1 label : fireHydrant 0.31
264 19 131 433 19 44 -1 -1 -1 -1 label : fireHydrant 0.41
265 19 129 434 20 46 -1 -1 -1 -1 label : fireHydrant 0.31
266 19 126 434 21 48 -1 -1 -1 -1 label : fireHydrant 0.13
268 19 122 437 21 48 -1 -1 -1 -1 label : fireHydrant 0.40
269 19 121 438 20 48 -1 -1 -1 -1 label : fireHydrant 0.33
270 19 117 439 23 48 -1 -1 -1 -1 label : fireHydrant 0.39
271 19 116 441 21 48 -1 -1 -1 -1 label : fireHydrant 0.40
272 19 114 442 20 48 -1 -1 -1 -1 label : fireHydrant 0.35
273 19 112 443 20 47 -1 -1 -1 -1 label : fireHydrant 0.12
275 19 108 443 20 48 -1 -1 -1 -1 label : fireHydrant 0.36
276 19 104 442 21 48 -1 -1 -1 -1 label : fireHydrant 0.21
277 19 100 443 23 49 -1 -1 -1 -1 label : fireHydrant 0.53
278 19 98 442 22 51 -1 -1 -1 -1 label : fireHydrant 0.58
279 19 96 442 20 50 -1 -1 -1 -1 label : fireHydrant 0.47
280 19 93 443 21 49 -1 -1 -1 -1 label : fireHydrant 0.54
281 19 89 443 23 49 -1 -1 -1 -1 label : fireHydrant 0.50
282 19 87 443 23 49 -1 -1 -1 -1 label : fireHydrant 0.32
283 19 83 446 24 48 -1 -1 -1 -1 label : fireHydrant 0.48
284 19 81 448 22 48 -1 -1 -1 -1 label : fireHydrant 0.75
285 19 78 449 22 49 -1 -1 -1 -1 label : fireHydrant 0.64
286 19 73 450 25 51 -1 -1 -1 -1 label : fireHydrant 0.69
287 19 71 450 22 51 -1 -1 -1 -1 label : fireHydrant 0.50
288 19 66 451 25 51 -1 -1 -1 -1 label : fireHydrant 0.27
289 19 64 452 23 49 -1 -1 -1 -1 label : fireHydrant 0.28
290 19 62 452 22 50 -1 -1 -1 -1 label : fireHydrant 0.17
291 19 56 453 25 50 -1 -1 -1 -1 label : fireHydrant 0.40
292 19 54 453 23 51 -1 -1 -1 -1 label : fireHydrant 0.46
293 19 50 455 23 50 -1 -1 -1 -1 label : fireHydrant 0.46
294 19 47 455 22 53 -1 -1 -1 -1 label : fireHydrant 0.48
295 19 40 456 26 52 -1 -1 -1 -1 label : fireHydrant 0.52
296 19 37 456 25 53 -1 -1 -1 -1 label : fireHydrant 0.23
298 19 27 457 28 56 -1 -1 -1 -1 label : fireHydrant 0.10
300 19 15 460 30 56 -1 -1 -1 -1 label : fireHydrant 0.15
301 19 9 463 29 56 -1 -1 -1 -1 label : fireHydrant 0.30
