28 2 856 289 423 125 -1 -1 -1 -1 label : spot-0.47
29 2 860 294 418 127 -1 -1 -1 -1 label : spot-0.59
39 2 851 325 428 85 -1 -1 -1 -1 label : spot-0.50
41 2 879 340 392 88 -1 -1 -1 -1 label : spot-0.41
42 2 885 347 385 90 -1 -1 -1 -1 label : spot-0.57
43 2 884 351 387 96 -1 -1 -1 -1 label : spot-0.57
44 2 890 357 380 102 -1 -1 -1 -1 label : spot-0.53
45 2 885 359 393 100 -1 -1 -1 -1 label : spot-0.56
46 2 892 362 384 100 -1 -1 -1 -1 label : spot-0.58
47 2 892 364 384 100 -1 -1 -1 -1 label : spot-0.47
48 2 897 365 381 100 -1 -1 -1 -1 label : spot-0.52
49 2 891 366 388 98 -1 -1 -1 -1 label : spot-0.46
50 2 913 369 353 114 -1 -1 -1 -1 label : spot-0.48
51 2 902 371 377 112 -1 -1 -1 -1 label : spot-0.34
52 2 887 373 392 97 -1 -1 -1 -1 label : spot-0.44
53 2 915 378 361 99 -1 -1 -1 -1 label : spot-0.56
54 2 908 380 371 93 -1 -1 -1 -1 label : spot-0.58
55 2 915 381 364 92 -1 -1 -1 -1 label : spot-0.64
56 2 917 381 362 89 -1 -1 -1 -1 label : spot-0.65
57 2 919 381 360 82 -1 -1 -1 -1 label : spot-0.69
58 2 933 381 341 84 -1 -1 -1 -1 label : spot-0.69
59 2 937 381 338 87 -1 -1 -1 -1 label : spot-0.70
60 2 935 381 344 86 -1 -1 -1 -1 label : spot-0.69
61 2 943 383 334 86 -1 -1 -1 -1 label : spot-0.68
62 2 946 384 332 86 -1 -1 -1 -1 label : spot-0.68
63 2 951 384 326 87 -1 -1 -1 -1 label : spot-0.70
64 2 956 388 323 84 -1 -1 -1 -1 label : spot-0.67
65 2 963 390 314 85 -1 -1 -1 -1 label : spot-0.64
66 2 969 392 308 85 -1 -1 -1 -1 label : spot-0.60
67 2 974 392 302 87 -1 -1 -1 -1 label : spot-0.60
68 2 975 393 304 84 -1 -1 -1 -1 label : spot-0.53
69 2 947 392 332 61 -1 -1 -1 -1 label : spot-1 0.44
70 2 987 392 286 65 -1 -1 -1 -1 label : spot-0.42
72 2 991 392 288 58 -1 -1 -1 -1 label : spot-1 0.35
73 2 1003 391 276 54 -1 -1 -1 -1 label : spot-1 0.45
74 2 1014 391 259 59 -1 -1 -1 -1 label : spot-1 0.44
75 2 1017 394 255 64 -1 -1 -1 -1 label : spot-1 0.44
76 2 1021 395 251 71 -1 -1 -1 -1 label : spot-1 0.46
77 2 1033 399 245 68 -1 -1 -1 -1 label : spot-1 0.51
78 2 1042 401 236 70 -1 -1 -1 -1 label : spot-1 0.54
79 2 1046 404 232 72 -1 -1 -1 -1 label : spot-1 0.52
80 2 1053 405 224 76 -1 -1 -1 -1 label : spot-1 0.48
81 2 1054 407 225 74 -1 -1 -1 -1 label : spot-1 0.50
82 2 1063 406 216 76 -1 -1 -1 -1 label : spot-1 0.48
82 6 323 389 157 46 -1 -1 -1 -1 label : spot-2 0.38
83 2 1071 406 208 74 -1 -1 -1 -1 label : spot-1 0.47
83 6 305 388 179 47 -1 -1 -1 -1 label : spot-2 0.37
84 2 1080 405 197 79 -1 -1 -1 -1 label : spot-1 0.52
84 6 288 387 192 47 -1 -1 -1 -1 label : spot-2 0.43
85 2 1086 406 192 80 -1 -1 -1 -1 label : spot-1 0.56
86 2 1106 404 172 78 -1 -1 -1 -1 label : spot-1 0.62
86 6 252 383 218 53 -1 -1 -1 -1 label : spot-2 0.33
87 2 1113 405 166 78 -1 -1 -1 -1 label : spot-1 0.69
87 6 231 383 240 53 -1 -1 -1 -1 label : spot-2 0.33
88 6 211 383 258 54 -1 -1 -1 -1 label : spot-2 0.69
88 9 478 371 61 26 -1 -1 -1 -1 label : invalidSpot-entrance 0.41
89 6 193 381 271 58 -1 -1 -1 -1 label : spot-2 0.69
89 9 474 368 63 29 -1 -1 -1 -1 label : invalidSpot-entrance 0.50
90 6 168 382 299 60 -1 -1 -1 -1 label : spot-2 0.66
