13 2 0 402 303 101 -1 -1 -1 -1 label : spot-0.35
14 2 0 403 302 100 -1 -1 -1 -1 label : spot-0.36
15 2 1 402 292 101 -1 -1 -1 -1 label : spot-0.41
16 2 0 402 292 100 -1 -1 -1 -1 label : spot-0.41
17 2 0 402 295 99 -1 -1 -1 -1 label : spot-0.44
18 2 0 402 294 100 -1 -1 -1 -1 label : spot-0.44
19 2 0 401 300 95 -1 -1 -1 -1 label : spot-0.45
20 2 0 401 298 93 -1 -1 -1 -1 label : spot-0.45
61 4 3 417 217 84 -1 -1 -1 -1 label : spot-1 0.31
62 4 0 417 222 86 -1 -1 -1 -1 label : spot-1 0.32
65 4 0 418 221 83 -1 -1 -1 -1 label : spot-1 0.35
66 4 0 418 218 82 -1 -1 -1 -1 label : spot-1 0.34
67 4 4 419 183 82 -1 -1 -1 -1 label : spot-1 0.35
68 4 0 420 183 82 -1 -1 -1 -1 label : spot-1 0.35
69 4 0 422 187 83 -1 -1 -1 -1 label : spot-1 0.39
70 4 0 422 190 85 -1 -1 -1 -1 label : spot-1 0.39
71 4 0 421 198 87 -1 -1 -1 -1 label : spot-1 0.36
72 4 0 422 200 86 -1 -1 -1 -1 label : spot-1 0.36
73 4 0 425 204 84 -1 -1 -1 -1 label : spot-1 0.33
74 4 0 426 204 83 -1 -1 -1 -1 label : spot-1 0.32
75 4 0 429 200 83 -1 -1 -1 -1 label : spot-1 0.39
76 4 0 430 200 83 -1 -1 -1 -1 label : spot-1 0.38
77 4 0 430 194 82 -1 -1 -1 -1 label : spot-1 0.40
78 4 0 430 194 82 -1 -1 -1 -1 label : spot-1 0.40
79 4 0 432 190 80 -1 -1 -1 -1 label : spot-1 0.44
80 4 0 433 189 79 -1 -1 -1 -1 label : spot-1 0.45
83 4 2 437 180 83 -1 -1 -1 -1 label : spot-1 0.30
84 4 0 439 182 85 -1 -1 -1 -1 label : spot-1 0.30
99 5 741 419 138 43 -1 -1 -1 -1 label : spot-1 0.43
100 5 741 420 138 43 -1 -1 -1 -1 label : spot-1 0.40
101 5 741 420 147 42 -1 -1 -1 -1 label : spot-1 0.43
102 5 743 421 147 42 -1 -1 -1 -1 label : spot-1 0.43
103 5 739 419 158 44 -1 -1 -1 -1 label : spot-1 0.46
104 5 739 419 160 44 -1 -1 -1 -1 label : spot-1 0.46
105 5 739 417 168 48 -1 -1 -1 -1 label : spot-1 0.50
106 5 737 417 174 50 -1 -1 -1 -1 label : spot-1 0.50
107 5 744 417 178 45 -1 -1 -1 -1 label : spot-1 0.33
109 5 757 417 169 49 -1 -1 -1 -1 label : spot-1 0.39
110 5 757 416 174 51 -1 -1 -1 -1 label : spot-1 0.37
111 5 766 417 177 51 -1 -1 -1 -1 label : spot-1 0.43
112 5 769 417 177 51 -1 -1 -1 -1 label : spot-1 0.40
113 5 778 418 175 53 -1 -1 -1 -1 label : spot-1 0.46
114 5 779 418 178 54 -1 -1 -1 -1 label : spot-1 0.47
115 5 782 419 188 55 -1 -1 -1 -1 label : spot-1 0.52
116 5 784 419 190 56 -1 -1 -1 -1 label : spot-1 0.54
117 5 801 420 178 61 -1 -1 -1 -1 label : spot-1 0.53
118 5 799 421 188 63 -1 -1 -1 -1 label : spot-1 0.55
119 5 782 422 223 62 -1 -1 -1 -1 label : spot-1 0.54
120 5 783 422 221 62 -1 -1 -1 -1 label : spot-1 0.54
121 5 780 425 238 64 -1 -1 -1 -1 label : spot-1 0.60
122 5 782 425 239 66 -1 -1 -1 -1 label : spot-1 0.61
123 5 777 428 259 67 -1 -1 -1 -1 label : spot-1 0.43
124 5 778 429 260 66 -1 -1 -1 -1 label : spot-1 0.42
125 5 786 428 265 73 -1 -1 -1 -1 label : spot-1 0.68
126 5 785 428 274 75 -1 -1 -1 -1 label : spot-1 0.69
127 5 787 429 290 79 -1 -1 -1 -1 label : spot-1 0.51
128 5 789 430 293 78 -1 -1 -1 -1 label : spot-1 0.53
129 5 791 429 337 87 -1 -1 -1 -1 label : spot-1 0.40
130 5 794 429 349 90 -1 -1 -1 -1 label : spot-1 0.39
133 5 804 433 344 94 -1 -1 -1 -1 label : spot-1 0.58
134 5 804 435 349 95 -1 -1 -1 -1 label : spot-1 0.57
135 5 809 437 365 95 -1 -1 -1 -1 label : spot-1 0.54
136 5 816 438 363 93 -1 -1 -1 -1 label : spot-1 0.55
137 5 806 440 397 92 -1 -1 -1 -1 label : spot-1 0.44
138 5 809 440 395 91 -1 -1 -1 -1 label : spot-1 0.39
139 5 812 440 394 89 -1 -1 -1 -1 label : spot-1 0.33
140 5 816 440 390 89 -1 -1 -1 -1 label : spot-1 0.34
141 5 822 443 374 89 -1 -1 -1 -1 label : spot-1 0.34
142 5 820 444 376 89 -1 -1 -1 -1 label : spot-1 0.34
145 5 825 446 428 97 -1 -1 -1 -1 label : spot-1 0.36
146 5 828 447 444 99 -1 -1 -1 -1 label : spot-1 0.32
147 5 858 445 408 100 -1 -1 -1 -1 label : spot-1 0.33
148 5 863 444 407 100 -1 -1 -1 -1 label : spot-1 0.34
149 5 875 446 399 105 -1 -1 -1 -1 label : spot-1 0.47
150 5 873 447 406 106 -1 -1 -1 -1 label : spot-1 0.47
153 5 914 454 365 101 -1 -1 -1 -1 label : spot-1 0.33
154 5 926 457 353 99 -1 -1 -1 -1 label : spot-1 0.34
155 5 933 457 346 100 -1 -1 -1 -1 label : spot-1 0.45
156 5 935 457 344 99 -1 -1 -1 -1 label : spot-1 0.41
159 5 1040 453 221 100 -1 -1 -1 -1 label : spot-1 0.31
160 5 1055 451 222 101 -1 -1 -1 -1 label : spot-1 0.32
161 5 1076 441 201 107 -1 -1 -1 -1 label : spot-1 0.36
162 5 1079 438 200 107 -1 -1 -1 -1 label : spot-1 0.36
231 10 321 310 14 38 -1 -1 -1 -1 label : fireHydrant 0.61
232 10 322 309 14 38 -1 -1 -1 -1 label : fireHydrant 0.65
233 10 323 308 12 37 -1 -1 -1 -1 label : fireHydrant 0.57
234 10 323 307 12 37 -1 -1 -1 -1 label : fireHydrant 0.57
235 10 321 306 13 37 -1 -1 -1 -1 label : fireHydrant 0.41
236 10 321 305 13 38 -1 -1 -1 -1 label : fireHydrant 0.41
237 10 321 304 12 38 -1 -1 -1 -1 label : fireHydrant 0.34
251 10 306 307 14 39 -1 -1 -1 -1 label : fireHydrant 0.53
251 15 66 320 19 55 -1 -1 -1 -1 label : fireHydrant 0.34
252 10 305 307 14 40 -1 -1 -1 -1 label : fireHydrant 0.53
253 10 302 307 15 40 -1 -1 -1 -1 label : fireHydrant 0.51
254 10 301 307 15 40 -1 -1 -1 -1 label : fireHydrant 0.51
255 10 302 306 15 44 -1 -1 -1 -1 label : fireHydrant 0.53
256 10 302 307 16 43 -1 -1 -1 -1 label : fireHydrant 0.52
257 10 299 307 16 44 -1 -1 -1 -1 label : fireHydrant 0.36
258 10 299 307 15 44 -1 -1 -1 -1 label : fireHydrant 0.35
259 10 297 308 16 43 -1 -1 -1 -1 label : fireHydrant 0.36
260 10 298 308 15 43 -1 -1 -1 -1 label : fireHydrant 0.36
263 10 293 308 17 45 -1 -1 -1 -1 label : fireHydrant 0.35
264 10 291 309 17 44 -1 -1 -1 -1 label : fireHydrant 0.34
265 10 290 309 15 45 -1 -1 -1 -1 label : fireHydrant 0.51
266 10 289 309 15 45 -1 -1 -1 -1 label : fireHydrant 0.52
267 10 288 308 16 45 -1 -1 -1 -1 label : fireHydrant 0.56
268 10 288 307 16 46 -1 -1 -1 -1 label : fireHydrant 0.57
269 10 287 307 15 44 -1 -1 -1 -1 label : fireHydrant 0.42
270 10 287 306 14 45 -1 -1 -1 -1 label : fireHydrant 0.41
271 10 275 307 14 46 -1 -1 -1 -1 label : fireHydrant 0.44
272 10 271 307 14 47 -1 -1 -1 -1 label : fireHydrant 0.43
273 10 267 307 14 47 -1 -1 -1 -1 label : fireHydrant 0.44
