16 2 905 372 374 179 -1 -1 -1 -1 label : spot-0.67
17 2 897 375 381 184 -1 -1 -1 -1 label : spot-0.48
18 2 878 376 401 186 -1 -1 -1 -1 label : spot-0.61
19 2 867 378 412 188 -1 -1 -1 -1 label : spot-0.67
20 2 857 379 422 189 -1 -1 -1 -1 label : spot-0.67
21 2 844 381 435 188 -1 -1 -1 -1 label : spot-0.67
22 2 837 384 441 188 -1 -1 -1 -1 label : spot-0.65
23 2 827 386 452 186 -1 -1 -1 -1 label : spot-0.68
24 2 820 388 459 184 -1 -1 -1 -1 label : spot-0.68
25 2 811 390 468 182 -1 -1 -1 -1 label : spot-0.68
26 2 804 393 475 179 -1 -1 -1 -1 label : spot-0.69
27 2 799 395 480 175 -1 -1 -1 -1 label : spot-0.66
28 2 796 396 482 171 -1 -1 -1 -1 label : spot-0.68
29 2 795 396 480 173 -1 -1 -1 -1 label : spot-0.68
30 2 789 397 488 172 -1 -1 -1 -1 label : spot-0.65
31 2 786 397 491 171 -1 -1 -1 -1 label : spot-0.67
32 2 784 396 492 173 -1 -1 -1 -1 label : spot-0.65
33 2 780 396 497 171 -1 -1 -1 -1 label : spot-0.65
34 2 777 396 500 171 -1 -1 -1 -1 label : spot-0.56
35 2 777 397 499 171 -1 -1 -1 -1 label : spot-0.50
36 2 772 398 507 168 -1 -1 -1 -1 label : spot-0.45
40 2 772 409 492 151 -1 -1 -1 -1 label : spot-1 0.52
41 2 772 414 495 154 -1 -1 -1 -1 label : spot-1 0.51
42 2 774 416 494 158 -1 -1 -1 -1 label : spot-1 0.47
43 2 771 419 503 157 -1 -1 -1 -1 label : spot-1 0.51
45 2 771 422 507 151 -1 -1 -1 -1 label : spot-1 0.50
46 2 770 424 507 149 -1 -1 -1 -1 label : spot-1 0.40
49 2 790 428 485 148 -1 -1 -1 -1 label : spot-1 0.59
50 2 797 431 479 146 -1 -1 -1 -1 label : spot-1 0.56
51 2 804 434 472 144 -1 -1 -1 -1 label : spot-1 0.56
52 2 805 437 473 141 -1 -1 -1 -1 label : spot-1 0.50
53 2 813 440 463 142 -1 -1 -1 -1 label : spot-1 0.46
54 2 819 444 458 139 -1 -1 -1 -1 label : spot-1 0.54
55 2 822 447 457 138 -1 -1 -1 -1 label : spot-1 0.52
56 2 825 450 454 134 -1 -1 -1 -1 label : spot-1 0.62
57 2 832 453 447 130 -1 -1 -1 -1 label : spot-1 0.55
58 2 834 456 445 126 -1 -1 -1 -1 label : spot-1 0.60
59 2 849 458 426 128 -1 -1 -1 -1 label : spot-1 0.62
60 2 852 461 427 124 -1 -1 -1 -1 label : spot-1 0.53
61 2 874 467 400 124 -1 -1 -1 -1 label : spot-1 0.51
62 2 885 470 393 120 -1 -1 -1 -1 label : spot-1 0.48
82 4 685 349 122 31 -1 -1 -1 -1 label : spot-1 0.42
83 4 686 350 121 30 -1 -1 -1 -1 label : spot-1 0.44
84 4 686 350 123 31 -1 -1 -1 -1 label : spot-1 0.46
85 4 685 350 126 32 -1 -1 -1 -1 label : spot-1 0.41
86 4 685 351 128 31 -1 -1 -1 -1 label : spot-1 0.43
87 4 685 351 129 32 -1 -1 -1 -1 label : spot-1 0.45
88 4 684 351 136 35 -1 -1 -1 -1 label : spot-1 0.46
89 4 684 352 138 36 -1 -1 -1 -1 label : spot-1 0.51
90 4 683 352 139 36 -1 -1 -1 -1 label : spot-1 0.54
91 4 683 353 143 36 -1 -1 -1 -1 label : spot-1 0.55
92 4 683 353 143 36 -1 -1 -1 -1 label : spot-1 0.54
93 4 683 353 142 36 -1 -1 -1 -1 label : spot-1 0.48
94 4 684 354 143 37 -1 -1 -1 -1 label : spot-1 0.55
95 4 686 355 137 37 -1 -1 -1 -1 label : spot-1 0.42
96 4 684 356 155 39 -1 -1 -1 -1 label : spot-1 0.45
97 4 688 356 142 39 -1 -1 -1 -1 label : spot-1 0.48
98 4 685 356 155 41 -1 -1 -1 -1 label : spot-1 0.44
104 4 684 356 166 42 -1 -1 -1 -1 label : spot-1 0.45
105 4 686 357 170 42 -1 -1 -1 -1 label : spot-1 0.43
114 4 685 357 159 37 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
115 4 685 357 156 37 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
116 4 687 358 155 37 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
117 4 687 359 161 38 -1 -1 -1 -1 label : invalidSpot-entrance 0.51
118 4 687 360 165 38 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
119 4 688 361 165 38 -1 -1 -1 -1 label : invalidSpot-entrance 0.50
120 4 690 362 165 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
