20 2 859 379 420 188 -1 -1 -1 -1 label : spot-0.67
21 2 846 381 433 187 -1 -1 -1 -1 label : spot-0.67
22 2 839 384 439 188 -1 -1 -1 -1 label : spot-0.65
23 2 829 386 450 185 -1 -1 -1 -1 label : spot-0.68
24 2 821 387 457 184 -1 -1 -1 -1 label : spot-0.68
25 2 812 390 466 182 -1 -1 -1 -1 label : spot-0.68
26 2 805 393 474 179 -1 -1 -1 -1 label : spot-0.69
27 2 800 395 479 175 -1 -1 -1 -1 label : spot-0.66
28 2 797 396 481 171 -1 -1 -1 -1 label : spot-0.68
29 2 796 396 478 173 -1 -1 -1 -1 label : spot-0.68
30 2 790 397 486 172 -1 -1 -1 -1 label : spot-0.65
31 2 786 397 491 171 -1 -1 -1 -1 label : spot-0.67
32 2 785 396 491 172 -1 -1 -1 -1 label : spot-0.65
33 2 781 395 496 171 -1 -1 -1 -1 label : spot-0.65
34 2 778 396 499 170 -1 -1 -1 -1 label : spot-0.56
35 2 777 397 499 171 -1 -1 -1 -1 label : spot-0.50
40 2 770 408 496 152 -1 -1 -1 -1 label : spot-1 0.52
41 2 771 414 497 154 -1 -1 -1 -1 label : spot-1 0.51
43 2 773 418 498 155 -1 -1 -1 -1 label : spot-1 0.51
45 2 772 421 504 151 -1 -1 -1 -1 label : spot-1 0.50
49 2 788 427 486 148 -1 -1 -1 -1 label : spot-1 0.59
50 2 797 431 479 146 -1 -1 -1 -1 label : spot-1 0.56
51 2 804 434 472 144 -1 -1 -1 -1 label : spot-1 0.56
54 2 816 442 460 140 -1 -1 -1 -1 label : spot-1 0.54
55 2 821 446 457 138 -1 -1 -1 -1 label : spot-1 0.52
56 2 825 450 454 133 -1 -1 -1 -1 label : spot-1 0.62
57 2 832 453 447 130 -1 -1 -1 -1 label : spot-1 0.55
58 2 834 456 445 126 -1 -1 -1 -1 label : spot-1 0.60
59 2 849 459 426 127 -1 -1 -1 -1 label : spot-1 0.62
60 2 853 462 426 123 -1 -1 -1 -1 label : spot-1 0.53
61 2 875 467 399 124 -1 -1 -1 -1 label : spot-1 0.51
91 3 683 352 142 37 -1 -1 -1 -1 label : spot-1 0.55
92 3 683 353 142 36 -1 -1 -1 -1 label : spot-1 0.54
117 3 685 358 163 38 -1 -1 -1 -1 label : invalidSpot-entrance 0.51
119 3 687 361 166 38 -1 -1 -1 -1 label : invalidSpot-entrance 0.50
